"Market";"Distributor";"Release date";"2015";"2016";"2017";"2018";"2019";"2020";"2019-2020";"Total since 2015"
"AT";"Wild Bunch (AT)";"31/07/2015";"52 259";"";"";"";"";"";"";"52 259"
"BA";"2iFilm (BA)";"";"5 288";"";"";"";"";"";"";"5 288"
"BE";"Independent Films Distribution (BE)";"15/07/2015";"38 719";"";"";"";"";"";"";"38 719"
"BG";"Pro Films (BG)";"30/10/2015";"38 912";"262";"";"637";"";"";"";"39 811"
"CH";"MovieBiz";"27/08/2015";"12 862";"3 264";"";"20";"";"";"";"16 146"
"CY";"";"21/11/2019";"";"";"";"";"4 100";"";"4 100";"4 100"
"CZ";"Bohemian Productions";"20/08/2015";"12 014";"2 109";"10";"";"252";"";"252";"14 385"
"DE";"Senator Film Verleih";"30/07/2015";"263 777";"5 159";"104";"1 178";"125";"118";"243";"270 461"
"EE";"VaataFilmi/Forum Distribution (EE)";"25/09/2015";"26 057";"";"";"";"";"";"";"26 057"
"ES";"Flins y piniculas";"21/05/2015";"135 955";"1 265";"";"";"";"";"";"137 220"
"FR";"Paradis Films";"09/12/2015";"401 898";"139 207";"";"";"";"";"";"541 105"
"GB";"Entertainment One Films (GB)";"01/05/2015";"449 922";"7 468";"";"";"";"";"";"457 390"
"GR";"Seven Films";"09/01/2020";"";"";"";"";"";"9 845";"9 845";"9 845"
"HR";"2iFilm (HR)";"08/10/2015";"44 530";"";"";"";"";"";"";"44 530"
"HU";"ADS";"20/08/2015";"47 951";"837";"";"";"";"";"";"48 788"
"IS";"Samfilm";"25/01/2016";"";"6 386";"";"";"";"";"";"6 386"
"IT";"Eagle Pictures";"09/04/2015";"67 542";"75";"";"";"";"";"";"67 617"
"LT";"Garsų pasaulio įrašai (LT)";"18/09/2015";"24 255";"";"";"";"";"";"";"24 255"
"LU";"";"";"";"";"";"";"";"34";"34";"34"
"LV";"Garsu Pasaulio irasai (LV)";"11/09/2015";"9 546";"117";"";"";"";"";"";"9 663"
"NL";"Independent Films (NL)";"15/07/2015";"43 242";"32";"";"";"";"";"";"43 274"
"PL";"Kino Swiat";"01/05/2015";"273 710";"4 479";"";"1 143";"";"";"";"279 332"
"PT";"Pris Audiovisuais";"27/08/2015";"38 931";"102";"";"";"";"";"";"39 033"
"RO";"Cine Europa (RO)";"08/01/2016";"";"19 521";"1 461";"718";"186";"212";"398";"22 098"
"RU";"Universal Pictures Int'l - UPI (RU)";"20/08/2015";"452 640";"";"";"";"";"";"";"452 640"
"SI";"2iFilm (SI)";"12/11/2015";"5 542";"";"";"";"";"";"";"5 542"
"SK";"Continental Film (SK)";"27/08/2015";"16 482";"319";"";"9";"";"";"";"16 810"
"TR";"Mars Dagitim";"31/07/2015";"79 600";"";"";"";"";"";"";"79 600"
"EUR EU";"";"";"1 991 244";"180 952";"1 575";"3 685";"4 663";"10 209";"14 872";"2 192 328"
"EUR OBS";"";"";"2 541 634";"190 602";"1 575";"3 705";"4 663";"10 209";"14 872";"2 752 388"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015"
" - film_id : 56511"
