"Market";"Distributor";"Release date";"2004";"2005";"2006";"2007";"2008";"2010";"2008-2010";"Total since 2004"
"AT";"20th Century Fox (AT)";"05/11/2004";"102 675";"";"";"";"";"";"";"102 675"
"BE";"";"";"158 930";"";"";"";"";"";"";"158 930"
"BG";"Aleksandra";"12/11/2004";"57 240";"6 184";"";"";"";"";"";"63 424"
"CH";"";"";"80 334";"";"";"";"";"";"";"80 334"
"CZ";"Bontonfilm";"04/11/2004";"81 318";"11 446";"";"79";"20";"";"20";"92 863"
"DE";"20th Century Fox (DE)";"04/11/2004";"1 060 313";"6 594";"";"4 495";"";"";"";"1 071 402"
"DK";"SF Film (DK)";"";"67 885";"560";"";"";"";"";"";"68 445"
"EE";"MPDE";"29/10/2004";"8 064";"";"";"";"";"";"";"8 064"
"ES";"Hispano Foxfilms";"10/11/2004";"845 308";"5 396";"";"";"9 679";"";"9 679";"860 383"
"FI";"SF Film Finland [FS Film]";"29/10/2004";"29 735";"162";"";"";"";"";"";"29 897"
"FR";"";"";"850 793";"";"";"";"";"";"";"850 793"
"GB";"";"";"1 146 178";"";"";"";"";"";"";"1 146 178"
"HU";"";"";"137 918";"";"";"";"";"";"";"137 918"
"IS";"";"";"8 652";"";"";"";"";"";"";"8 652"
"IT";"";"";"426 742";"151";"";"";"";"";"";"426 893"
"LV";"Baltic Cinema";"05/11/2004";"17 478";"";"";"";"";"";"";"17 478"
"NL";"20th Century Fox (NL)";"28/10/2004";"87 245";"";"";"";"63";"";"63";"87 308"
"NO";"20th Century Fox (NO)";"12/11/2004";"61 163";"";"";"10";"277";"2";"279";"61 452"
"PL";"Cinepix";"04/11/2004";"213 708";"2 592";"";"";"";"";"";"216 300"
"PT";"CLMC Multimedia";"28/10/2004";"155 674";"";"";"";"692";"";"692";"156 366"
"RO";"Intercomfilm";"12/11/2004";"41 726";"5 239";"";"13";"";"";"";"46 978"
"SE";"20th Century Fox (SE)";"05/11/2004";"79 264";"693";"";"";"229";"";"229";"80 186"
"SI";"Continental Film (SI)";"18/11/2004";"";"";"219";"";"";"";"";"219"
"SK";"Tatra Film";"04/11/2004";"24 785";"";"";"5";"";"";"";"24 790"
"TR";"";"";"86 993";"";"";"";"";"";"";"86 993"
"EUR EU";"";"";"5 592 979";"39 017";"219";"4 592";"10 683";"";"10 683";"5 647 490"
"EUR OBS";"";"";"5 830 121";"39 017";"219";"4 602";"10 960";"2";"10 962";"5 884 921"
"US_CA";"";"";"12 927 858";"";"";"";"";"";"";"12 927 858"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2010, 2008, 2007, 2006, 2005, 2004"
" - film_id : 21933"
