"Market";"Distributor";"Release date";"2005";"2006";"2007";"Total since 2005"
"AT";"Constantin Film (AT)";"02/06/2005";"81 468";"";"";"81 468"
"BE";"";"";"81 555";"";"";"81 555"
"BG";"Aleksandra";"22/04/2005";"42 226";"";"";"42 226"
"CZ";"Bontonfilm";"09/06/2005";"30 068";"560";"25";"30 653"
"DE";"Buena Vista (DE)";"02/06/2005";"613 996";"";"";"613 996"
"DK";"Nordisk, Constantin, Fox";"";"24 918";"";"";"24 918"
"EE";"MPDE";"23/07/2005";"8 506";"";"";"8 506"
"ES";"UIP - United International Pictures (ES)";"15/04/2005";"7 765 106";"";"";"7 765 106"
"FI";"Nordisk Film Theatrical Dist.";"08/07/2005";"24 125";"";"";"24 125"
"FR";"";"";"321 565";"";"";"321 565"
"GB";"UIP (GB)";"08/04/2005";"1 032 432";"";"";"1 032 432"
"HU";"SPI Hungary";"28/07/2005";"71 082";"";"";"71 082"
"IS";"";"";"15 817";"";"";"15 817"
"IT";"";"";"434 151";"";"";"434 151"
"LV";"Acme (LV)";"22/07/2005";"16 791";"";"";"16 791"
"NL";"Independent Films (NL)";"14/07/2005";"76 804";"";"";"76 804"
"NO";"";"";"19 449";"";"";"19 449"
"PL";"Monolith";"14/04/2005";"135 739";"";"";"135 739"
"PT";"";"21/04/2005";"128 198";"";"";"128 198"
"RO";"New Films Intl.";"11/11/2005";"19 451";"1 344";"38";"20 833"
"SE";"Sony Pictures Releasing (SE)";"06/07/2005";"28 152";"";"";"28 152"
"SK";"Tatra Film";"09/06/2005";"";"30";"";"30"
"TR";"Avşar Film";"16/09/2005";"29 613";"";"";"29 613"
"EUR EU";"";"";"10 936 333";"1 934";"63";"10 938 330"
"EUR OBS";"";"";"11 001 212";"1 934";"63";"11 003 209"
"US_CA";"";"";"10 713 248";"";"";"10 713 248"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2007, 2006, 2005"
" - film_id : 23823"
