"Market";"Distributor";"Release date";"2008";"2009";"2010";"2011";"2013";"Total since 2008"
"AT";"Warner Bros. (AT)";"14/02/2008";"146 288";"";"";"";"";"146 288"
"BE";"Les Films de la Memoire";"06/02/2008";"99 201";"";"";"";"";"99 201"
"CH";"Elite Film";"21/02/2008";"63 742";"";"";"";"";"63 742"
"CZ";"Bioscop (AQS)";"21/02/2008";"56 559";"99";"22";"";"31";"56 711"
"DE";"Warner Bros. (DE)";"14/02/2008";"631 730";"";"";"";"";"631 730"
"DK";"Nordisk Film Biografer";"29/02/2008";"51 705";"";"";"";"";"51 705"
"EE";"Estinfilm";"02/01/2008";"9 120";"";"";"";"";"9 120"
"ES";"Vértice Cine";"31/01/2008";"593 827";"";"";"1 117";"";"594 944"
"FI";"Future Film (FI)";"22/02/2008";"43 253";"";"";"";"";"43 253"
"FR";"Metropolitan Filmexport";"06/02/2008";"850 346";"";"";"";"";"850 346"
"GB";"Sony Pictures (GB)";"22/02/2008";"612 245";"33";"";"";"";"612 278"
"HU";"Best Hollywood";"07/02/2008";"42 909";"";"";"";"";"42 909"
"IS";"";"";"12 314";"";"";"";"";"12 314"
"IT";"Walt Disney (IT)";"22/02/2008";"604 279";"";"";"";"";"604 279"
"NL";"Moonlight Films";"21/02/2008";"67 352";"";"";"68";"";"67 420"
"NO";"";"";"64 180";"";"";"";"";"64 180"
"PL";"Monolith/SPI";"07/03/2008";"55 028";"";"";"";"";"55 028"
"PT";"New Lineo Cinemas";"07/02/2008";"95 201";"";"";"";"";"95 201"
"RO";"Media Pro Pictures";"25/01/2008";"17 459";"";"";"";"";"17 459"
"SE";"Noble Entertainment";"07/03/2008";"39 999";"15";"";"";"";"40 014"
"SI";"Fivia";"21/02/2008";"16 590";"";"";"";"";"16 590"
"SK";"Magic Box Slovakia";"03/04/2008";"7 445";"";"4";"";"28";"7 477"
"TR";"Ozen Film";"01/02/2008";"62 761";"";"";"";"";"62 761"
"EUR EU";"";"";"4 040 536";"147";"26";"1 185";"59";"4 041 953"
"EUR OBS";"";"";"4 243 533";"147";"26";"1 185";"59";"4 244 950"
"US_CA";"Lionsgate/Weinstein";"25/01/2008";"5 954 611";"";"";"";"";"5 954 611"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2013, 2011, 2010, 2009, 2008"
" - film_id : 30072"
