"Market";"Distributor";"Release date";"2004";"2005";"2007";"2012";"Total since 2004"
"AT";"Constantin Film (AT)";"23/09/2004";"98 353";"";"";"";"98 353"
"BE";"";"";"94 000";"";"";"";"94 000"
"BG";"Aleksandra";"04/02/2005";"";"18 420";"";"";"18 420"
"CH";"";"";"30 536";"";"";"";"30 536"
"CZ";"Bioscop (AQS)";"06/01/2005";"124";"40 558";"";"30";"40 712"
"DE";"Constantin Film (DE)";"23/09/2004";"444 976";"";"";"";"444 976"
"DK";"Buena Vista (DK)";"10/09/2004";"24 605";"284";"194";"";"25 083"
"ES";"Sony Pictures Releasing De Espana";"03/11/2004";"787 790";"1 578";"515";"";"789 883"
"FI";"Nordisk Film Theatrical Dist.";"08/10/2004";"22 933";"66";"";"";"22 999"
"FR";"";"";"927 773";"";"";"";"927 773"
"GB";"";"";"438 493";"";"";"";"438 493"
"HU";"SPI Hungary";"13/01/2005";"";"68 035";"";"";"68 035"
"IS";"";"";"7 181";"";"";"";"7 181"
"IT";"";"";"476 565";"193";"";"";"476 758"
"NL";"Paradiso Entertainment (NL)";"13/01/2005";"";"6 354";"";"";"6 354"
"NO";"Columbia TriStar Nordisk";"";"25 955";"";"";"";"25 955"
"PL";"Vision";"29/10/2004";"64 544";"1 130";"";"";"65 674"
"PT";"";"";"120 534";"";"";"";"120 534"
"RO";"Pro Video";"21/01/2005";"";"11 345";"";"";"11 345"
"SE";"";"";"44 968";"";"";"";"44 968"
"SK";"Magic Box Slovakia";"06/01/2005";"";"";"";"15";"15"
"TR";"";"";"81 015";"";"";"";"81 015"
"EUR EU";"";"";"3 545 658";"147 963";"709";"45";"3 694 375"
"EUR OBS";"";"";"3 690 345";"147 963";"709";"45";"3 839 062"
"US_CA";"";"";"8 170 692";"";"";"";"8 170 692"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2012, 2007, 2005, 2004"
" - film_id : 21958"
