"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"2020";"2018-2020";"Total since 2014"
"AT";"Constantin Film (AT)";"27/02/2014";"44 711";"";"";"";"";"";"";"44 711"
"BG";"A Plus Cinema";"21/02/2014";"57 721";"";"";"";"";"";"";"57 721"
"CH";"Pathé Films (CH)";"19/02/2014";"17 039";"";"";"";"64";"";"64";"17 103"
"CY";"Odeon (CY)";"";"5 123";"";"";"";"";"";"";"5 123"
"CZ";"Bontonfilm";"20/03/2014";"35 142";"1 098";"";"";"";"";"";"36 240"
"DE";"Constantin Film (DE)";"27/02/2014";"250 440";"";"";"72";"134";"21";"155";"250 667"
"DK";"Nordisk Film Distribution (DK)";"01/05/2014";"10 916";"";"";"";"";"";"";"10 916"
"EE";"Acme (EE)";"21/02/2014";"13 747";"";"";"";"";"";"";"13 747"
"ES";"Aurum Producciones";"25/04/2014";"389 681";"";"";"";"";"";"";"389 681"
"FI";"Nordisk Film Theatrical Dist.";"02/05/2014";"15 345";"";"";"";"";"";"";"15 345"
"FR";"SND Films";"19/02/2014";"717 797";"";"";"";"";"";"";"717 797"
"GB";"Entertainment One Films (GB)";"02/05/2014";"396 707";"";"";"";"";"";"";"396 707"
"GR";"Odeon (GR)";"";"49 319";"";"";"";"";"";"";"49 319"
"HR";"Blitz Film & Video Distribution (HR)";"20/02/2014";"35 253";"";"";"";"";"";"";"35 253"
"HU";"ProVideo";"20/02/2014";"69 611";"";"";"";"";"";"";"69 611"
"IS";"Samfilm";"";"3 799";"";"";"";"";"";"";"3 799"
"IT";"01 Distribution";"20/02/2014";"431 651";"329";"211";"";"";"";"";"432 191"
"LT";"Acme (LT)";"21/02/2014";"21 265";"";"";"";"";"";"";"21 265"
"LV";"Acme (LV)";"21/02/2014";"14 207";"";"";"";"";"";"";"14 207"
"ME";"";"";"558";"";"";"";"";"";"";"558"
"NL";"Entertainment One Benelux";"17/04/2014";"67 128";"";"";"";"";"";"";"67 128"
"NO";"Nordisk Filmdistribusjon";"09/05/2014";"6 852";"";"";"";"";"";"";"6 852"
"PL";"Monolith";"21/02/2014";"161 903";"";"";"";"";"";"";"161 903"
"PT";"NOS Lusomundo Audiovisuais (PT)";"27/02/2014";"61 301";"47";"3";"";"";"";"";"61 351"
"RO";"Media Pro Distributions";"21/03/2014";"174 764";"";"";"";"";"";"";"174 764"
"RU";"Paradise";"19/02/2014";"1 422 246";"";"";"";"";"";"";"1 422 246"
"SE";"Nordisk Film";"25/04/2014";"9 034";"";"";"";"";"";"";"9 034"
"SI";"Blitz Film & Video Distribution (SI)";"20/02/2014";"7 755";"";"";"";"";"";"";"7 755"
"SK";"Bontonfilm (SK)";"20/03/2014";"13 698";"25";"";"";"";"";"";"13 723"
"TR";"Chantier Films";"31/10/2014";"11 554";"";"";"";"";"";"";"11 554"
"EUR EU";"";"";"3 054 219";"1 499";"214";"72";"134";"21";"155";"3 056 159"
"EUR OBS";"";"";"4 516 267";"1 499";"214";"72";"198";"21";"219";"4 518 271"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2018, 2017, 2016, 2015, 2014"
" - film_id : 47003"
