"Market";"Distributor";"Release date";"2003";"2004";"2005";"2009";"2018";"2019";"2018-2019";"Total since 2003"
"AT";"";"";"463 853";"";"";"";"";"";"";"463 853"
"BE";"Sony Pictures Paramount (BE)";"16/10/2019";"366 167";"";"";"";"";"8";"8";"366 175"
"BG";"Aleksandra";"25/07/2003";"93 387";"";"";"";"";"";"";"93 387"
"CH";"";"";"271 172";"";"";"";"";"";"";"271 172"
"CY";"";"";"15 402";"";"";"";"";"";"";"15 402"
"CZ";"Falcon";"07/08/2003";"320 264";"810";"4";"";"";"";"";"321 078"
"DE";"Columbia TriStar Film (DE)";"31/07/2003";"2 978 407";"";"";"";"";"";"";"2 978 407"
"DK";"";"";"236 585";"";"";"";"";"";"";"236 585"
"EE";"MPDE";"11/07/2003";"44 939";"";"";"";"";"";"";"44 939"
"ES";"Sony Pictures Releasing De Espana";"07/07/2003";"2 538 381";"";"";"82";"";"";"";"2 538 463"
"FI";"";"";"192 655";"";"";"";"";"";"";"192 655"
"FR";"";"";"3 167 623";"664";"";"";"";"";"";"3 168 287"
"GB";"";"";"3 951 001";"";"";"";"";"";"";"3 951 001"
"HU";"";"";"452 387";"";"";"";"";"";"";"452 387"
"IS";"";"";"25 402";"";"";"";"";"";"";"25 402"
"IT";"Sony Pictures (IT)";"19/09/2003";"900 544";"";"";"";"876";"";"876";"901 420"
"LT";"";"";"24 261";"";"";"";"";"";"";"24 261"
"LU";"";"";"22 600";"";"";"";"";"";"";"22 600"
"LV";"";"";"34 561";"";"";"";"";"";"";"34 561"
"NL";"";"";"310 382";"";"";"";"";"";"";"310 382"
"NO";"";"";"180 458";"";"";"";"";"";"";"180 458"
"PL";"";"";"420 890";"1 924";"";"";"";"";"";"422 814"
"RO";"";"";"121 867";"1 418";"";"";"";"";"";"123 285"
"SE";"";"";"357 534";"";"";"";"";"";"";"357 534"
"SK";"Itafilm";"07/08/2003";"72 175";"";"";"";"";"";"";"72 175"
"TR";"";"";"391 975";"";"";"";"";"";"";"391 975"
"EUR EU";"";"";"17 085 865";"4 816";"4";"82";"876";"8";"884";"17 091 651"
"EUR OBS";"";"";"17 954 872";"4 816";"4";"82";"876";"8";"884";"17 960 658"
"US_CA";"";"";"24 935 040";"";"";"";"";"";"";"24 935 040"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2009, 2005, 2004, 2003"
" - film_id : 20304"
