"Market";"Distributor";"Release date";"2004";"2005";"2006";"2007";"2014";"Total since 2004"
"AT";"UIP (AT)";"29/10/2004";"592 330";"34 374";"";"";"";"626 704"
"BE";"UIP (BE)";"07/11/2004";"15 712";"";"18 243";"";"";"33 955"
"CH";"Universal Pictures (CH)";"28/10/2004";"224 726";"";"";"";"105";"224 831"
"DE";"UIP (DE)";"28/10/2004";"6 486 540";"287 042";"";"";"";"6 773 582"
"PL";"Kino Swiat";"25/08/2006";"";"";"240 555";"1 550";"";"242 105"
"EUR EU";"";"";"7 094 582";"321 416";"258 798";"1 550";"";"7 676 346"
"EUR OBS";"";"";"7 319 308";"321 416";"258 798";"1 550";"105";"7 901 177"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2014, 2007, 2006, 2005, 2004"
" - film_id : 21906"
