"Market";"Distributor";"Release date";"2008";"2009";"2010";"2013";"2015";"2019";"2015-2019";"Total since 2008"
"AT";"Universal Pictures (AT)";"19/09/2008";"123 159";"";"";"";"";"";"";"123 159"
"CH";"Universal Pictures (CH)";"18/09/2008";"56 139";"15";"";"";"17";"22";"39";"56 193"
"CZ";"Bontonfilm";"18/09/2008";"78 978";"607";"";"";"";"";"";"79 585"
"DE";"Universal Pictures (DE)";"18/09/2008";"470 563";"";"";"";"";"";"";"470 563"
"DK";"UIP (DK)";"10/10/2008";"79 638";"531";"";"";"";"";"";"80 169"
"EE";"Forum Cinemas (EE)";"22/08/2008";"16 078";"12";"";"";"";"";"";"16 090"
"ES";"Paramount Spain";"22/09/2008";"347 026";"62";"";"30";"";"";"";"347 118"
"FI";"Finnkino";"19/09/2008";"38 637";"";"";"";"";"";"";"38 637"
"FR";"Paramount Pictures (FR)";"15/10/2008";"544 680";"";"";"";"";"";"";"544 680"
"GB";"Paramount (GB)";"19/09/2008";"1 661 338";"8 140";"";"";"";"";"";"1 669 478"
"HR";"Blitz Film & Video Distribution (HR)";"";"39 165";"";"";"";"";"";"";"39 165"
"HU";"UIP-Dunafilm";"04/09/2008";"204 963";"";"";"";"";"";"";"204 963"
"IS";"";"";"24 856";"";"";"";"";"";"";"24 856"
"IT";"Universal (IT)";"24/10/2008";"578 516";"405";"";"";"";"";"";"578 921"
"NL";"Universal Pictures Int (NL)";"25/09/2008";"94 698";"92";"11";"";"";"";"";"94 801"
"NO";"UIP (NO)";"26/09/2008";"75 243";"14";"";"";"";"";"";"75 257"
"PL";"UIP (PL)";"26/09/2008";"125 580";"";"";"";"";"";"";"125 580"
"PT";"ZON Lusomundo Audiovisuais";"18/09/2008";"145 923";"169";"";"";"";"";"";"146 092"
"RO";"Ro-Image 2000";"12/09/2008";"28 143";"";"13";"";"";"";"";"28 156"
"SE";"UIP / Paramount";"19/09/2008";"87 072";"";"";"";"";"";"";"87 072"
"SI";"Karantanija Cinemas";"25/09/2008";"29 639";"245";"11";"";"";"";"";"29 895"
"SK";"Tatra Film";"25/09/2008";"22 303";"25";"";"";"";"";"";"22 328"
"TR";"UIP (TR)";"10/10/2008";"39 125";"";"";"";"";"";"";"39 125"
"EUR EU";"";"";"4 716 099";"10 288";"35";"30";"";"";"0";"4 726 452"
"EUR OBS";"";"";"4 911 462";"10 317";"35";"30";"17";"22";"39";"4 921 883"
"US_CA";"Paramount-Dreamworks (US)";"13/08/2008";"15 384 583";"";"";"";"";"";"";"15 384 583"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2015, 2013, 2010, 2009, 2008"
" - film_id : 30091"
