"Market";"Distributor";"Release date";"2017";"2018";"2019";"2020";"Total since 2017"
"AT";"Constantin Film (AT)";"26/10/2017";"538 819";"";"";"";"538 819"
"BA";"2iFilm (BA)";"31/05/2018";"";"139";"";"";"139"
"BE";"Constantin (BE)";"";"24 517";"";"";"";"24 517"
"CH";"Pathé Films (CH)";"25/10/2017";"229 989";"5 190";"";"";"235 179"
"CZ";"CinemArt (CZ)";"12/04/2018";"";"142 948";"56";"";"143 004"
"DE";"Constantin Film (DE)";"26/10/2017";"5 948 094";"188 185";"612";"923";"6 137 814"
"HR";"2iFilm (HR)";"31/05/2018";"";"663";"";"";"663"
"HU";"Big Bang Media";"23/08/2018";"";"123 848";"";"";"123 848"
"LU";"";"";"24 644";"";"";"";"24 644"
"ME";"";"";"";"118";"";"";"118"
"RU";"Raketa Releasing";"12/04/2018";"";"19 337";"";"";"19 337"
"SI";"2iFilm (SI)";"21/06/2018";"";"510";"";"";"510"
"SK";"CinemaArt (SK)";"12/04/2018";"";"32 131";"";"9";"32 140"
"EUR EU";"";"";"6 536 074";"488 285";"668";"932";"7 025 959"
"EUR OBS";"";"";"6 766 063";"513 069";"668";"932";"7 280 732"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017"
" - film_id : 73510"
