"Market";"Distributor";"Release date";"2002";"2003";"2004";"2014";"2015";"Total since 2002"
"BE";"";"";"83 976";"";"";"";"";"83 976"
"BG";"New Films";"22/11/2002";"10 550";"19 217";"";"";"";"29 767"
"CH";"Elite Film";"29/08/2002";"46 536";"";"";"23";"6";"46 565"
"CZ";"SPI";"21/11/2002";"19 765";"4 923";"143";"";"";"24 831"
"DE";"Universum Film";"05/09/2002";"231 412";"";"";"12";"";"231 424"
"DK";"";"";"11 248";"11";"";"";"";"11 259"
"ES";"";"";"643 330";"325";"35";"";"";"643 690"
"FR";"";"";"284 740";"609";"";"";"";"285 349"
"GB";"";"";"181 617";"";"";"";"";"181 617"
"HU";"";"";"18 320";"";"";"";"";"18 320"
"IS";"";"";"10 607";"";"";"";"";"10 607"
"IT";"";"";"329 977";"3 246";"";"";"";"333 223"
"LT";"";"";"";"8 927";"";"";"";"8 927"
"NL";"";"";"26 779";"";"";"";"";"26 779"
"NO";"";"";"22 752";"";"";"";"";"22 752"
"PL";"Vision";"22/11/2002";"52 877";"7 624";"";"";"";"60 501"
"RO";"";"";"15 788";"4 128";"";"";"";"19 916"
"SE";"";"";"17 278";"";"";"";"";"17 278"
"SK";"SPI SK";"27/02/2003";"";"11 859";"";"";"";"11 859"
"TR";"";"";"";"19 264";"";"";"";"19 264"
"EUR EU";"";"";"1 927 657";"60 869";"178";"12";"";"1 988 716"
"EUR OBS";"";"";"2 007 552";"80 133";"178";"35";"6";"2 087 904"
"US_CA";"";"";"6 063 614";"";"";"";"";"6 063 614"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2015, 2014, 2004, 2003, 2002"
" - film_id : 18725"
