"Market";"Distributor";"Release date";"2009";"2010";"2011";"2012";"2013";"2014";"2018";"2019";"2013-2019";"Total since 2009"
"AT";"Filmcasino & Polyfilm";"03/06/2010";"";"15 322";"14";"";"";"";"";"";"";"15 336"
"BA";"Tropik";"13/08/2011";"";"";"16";"";"";"";"";"";"";"16"
"BE";"Lumiere Productie (BE)";"19/05/2010";"";"9 891";"";"";"";"";"";"";"";"9 891"
"CH";"Frenetic Films (CH)";"28/05/2010";"";"26 585";"";"15";"";"";"";"";"";"26 600"
"CY";"Rosebud (CY)";"27/08/2010";"";"150";"";"";"";"";"";"";"";"150"
"CZ";"CinemArt (CZ)";"16/12/2010";"";"3 468";"6 173";"198";"186";"120";"";"";"306";"10 145"
"DE";"NFP Marketing & Distribution";"03/06/2010";"";"408 016";"";"";"";"";"7";"";"7";"408 023"
"DK";"Nordisk Film Distribution (DK)";"27/11/2009";"404 504";"97 258";"721";"";"";"";"";"";"";"502 483"
"EE";"Tallinnfilm (EE)";"23/04/2010";"";"2 368";"34";"";"";"";"";"";"";"2 402"
"ES";"Vertigo Films (ES)";"05/03/2010";"";"430 224";"82";"4";"";"";"";"";"";"430 310"
"FI";"Nordisk Film Theatrical Dist.";"01/01/2010";"981";"60 891";"";"";"";"";"";"";"";"61 872"
"FR";"UGC Distribution";"28/07/2010";"";"143 748";"";"";"";"";"";"";"";"143 748"
"GB";"Momentum Pictures (GB)";"26/11/2010";"";"111 513";"11 733";"";"";"";"";"";"";"123 246"
"GR";"Rosebud";"22/04/2010";"";"3 435";"";"";"";"";"";"";"";"3 435"
"HR";"Continental Film (HR)";"25/11/2010";"";"782";"382";"";"";"";"";"";"";"1 164"
"HU";"Budapestfilm";"24/03/2011";"";"";"3 871";"110";"";"";"";"";"";"3 981"
"IT";"Bim Distribuzione";"28/05/2010";"";"135 200";"";"";"";"";"";"154";"154";"135 354"
"LT";"Incognito Films";"25/02/2011";"";"";"372";"";"";"";"";"";"";"372"
"LU";"Lumiere Publishing (LU)";"19/05/2010";"";"740";"";"";"";"";"";"";"";"740"
"NL";"Lumiere Publishing (NL)";"25/03/2010";"";"91 970";"79";"";"";"";"";"";"";"92 049"
"NO";"Nordisk Filmdistribusjon";"27/11/2009";"253 257";"80 137";"";"";"";"";"";"";"";"333 394"
"PT";"ZON Lusomundo Cinemas";"29/09/2011";"";"";"1 473";"";"";"";"";"";"";"1 473"
"RO";"IF-Independenta Film";"05/11/2010";"";"1 010";"303";"";"22";"";"";"";"22";"1 335"
"RU";"Caravella-DCC";"25/11/2010";"";"207";"";"";"";"";"";"";"";"207"
"SE";"Nordisk Film";"27/11/2009";"509 122";"264 308";"";"";"";"";"";"";"";"773 430"
"SI";"Continental Film (SI)";"13/01/2011";"";"";"1 793";"";"";"";"";"";"";"1 793"
"TR";"Tiglon";"01/04/2011";"";"";"4 066";"";"";"";"";"";"";"4 066"
"EUR EU";"";"";"914 607";"1 780 294";"27 030";"312";"208";"120";"7";"154";"489";"2 722 732"
"EUR OBS";"";"";"1 167 864";"1 887 223";"31 112";"327";"208";"120";"7";"154";"489";"3 087 015"
"US_CA";"Music Box Films";"29/10/2010";"";"668 325";"";"";"";"";"";"";"";"668 325"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2014, 2013, 2012, 2011, 2010, 2009"
" - film_id : 33131"
