"Market";"Distributor";"Release date";"2000";"2001";"2002";"2003";"2004";"2019";"2004-2019";"Total since 2000"
"AT";"";"";"229 606";"259 986";"";"";"";"";"";"489 592"
"BE";"";"";"257 725";"";"";"";"";"";"";"257 725"
"BG";"";"";"31 644";"24 059";"";"";"";"";"";"55 703"
"CH";"";"";"219 195";"51 161";"";"";"";"";"";"270 356"
"CZ";"";"";"46 687";"";"";"";"";"";"";"46 687"
"DE";"Columbia TriStar Film (DE)";"";"1 903 923";"359 595";"";"";"";"";"";"2 263 518"
"DK";"";"";"94 611";"58 114";"";"";"";"";"";"152 725"
"EE";"";"";"15 510";"";"";"";"";"";"";"15 510"
"ES";"";"";"1 531 933";"200 611";"";"6 669";"";"";"";"1 739 213"
"FI";"";"";"119 361";"";"";"";"";"";"";"119 361"
"FR";"";"";"1 733 465";"115 405";"260";"3 548";"";"";"";"1 852 678"
"GB";"";"";"2 946 968";"";"";"";"";"";"";"2 946 968"
"HU";"";"";"165 017";"";"";"";"";"";"";"165 017"
"IS";"";"";"30 687";"1 867";"";"";"";"";"";"32 554"
"IT";"";"";"505 336";"";"";"";"";"";"";"505 336"
"LU";"";"";"19 400";"4 850";"";"";"";"";"";"24 250"
"LV";"";"";"";"30 492";"";"";"";"";"";"30 492"
"NL";"";"";"416 791";"";"";"";"";"";"";"416 791"
"NO";"Uavhengig distribusjon";"";"166 787";"";"";"";"";"6";"6";"166 793"
"PL";"";"";"131 971";"";"";"";"";"";"";"131 971"
"RO";"";"";"";"";"802";"9";"19";"";"19";"830"
"SE";"";"";"141 096";"";"";"";"";"";"";"141 096"
"TR";"";"";"370 474";"";"";"";"";"";"";"370 474"
"EUR EU";"";"";"10 291 044";"1 053 112";"1 062";"10 226";"19";"";"19";"11 355 463"
"EUR OBS";"";"";"11 078 187";"1 106 140";"1 062";"10 226";"19";"6";"25";"12 195 640"
"US_CA";"";"";"22 327 774";"464 338";"";"";"";"";"";"22 792 112"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2004, 2003, 2002, 2001, 2000"
" - film_id : 15117"
