"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2018-2020";"Total since 2014"
"AT";"Fox Int'l (AT)";"07/03/2014";"108 100";"";"";"";"";"";"";"";"108 100"
"BE";"20th Century Fox (BE)";"05/03/2014";"";"";"100";"";"207";"21";"52";"280";"380"
"CH";"20th Century Fox (CH)";"26/02/2014";"184 977";"957";"253";"543";"";"178";"50";"228";"186 958"
"CY";"Fox (CY)";"";"2 654";"";"";"";"";"";"";"";"2 654"
"CZ";"CinemArt (CZ)";"13/03/2014";"79 896";"2 546";"1 562";"";"";"";"";"";"84 004"
"DE";"20th Century Fox (DE)";"06/03/2014";"991 349";"48 461";"2 650";"1 091";"651";"34";"";"685";"1 044 236"
"DK";"Filmcompagniet (SF-Film)";"27/03/2014";"89 253";"";"";"";"";"";"";"";"89 253"
"EE";"ETD";"28/03/2014";"25 925";"211";"";"";"";"";"";"";"26 136"
"ES";"Hispano Foxfilms";"17/03/2014";"771 579";"35 319";"";"";"60";"";"";"60";"806 958"
"FI";"FS Film (FI)";"11/04/2014";"84 565";"411";"";"";"";"";"";"";"84 976"
"FR";"20th Century Fox (FR)";"26/02/2014";"1 473 971";"";"";"";"";"";"5 090";"5 090";"1 479 061"
"GB";"20th Century Fox (GB)";"28/02/2014";"1 642 005";"9 779";"267";"150";"";"";"1 584";"1 584";"1 653 785"
"GR";"Odeon (GR)";"";"95 286";"1 238";"";"";"";"";"";"";"96 524"
"HR";"Fox (HR)";"03/04/2014";"18 455";"";"";"";"";"";"";"";"18 455"
"HU";"Magyar Nemzeti";"20/03/2014";"89 101";"1 327";"";"";"176";"";"";"176";"90 604"
"IS";"Sena";"";"7 762";"";"";"";"";"";"";"";"7 762"
"IT";"20th Century Fox (IT)";"10/04/2014";"809 165";"7 178";"24";"13";"494";"";"";"494";"816 874"
"LT";"Theatrical Film Distribution / 20th Century Fox (LT)";"14/03/2014";"26 441";"";"";"";"";"";"";"";"26 441"
"LU";"20th Century Fox (LU)";"05/03/2014";"17 800";"";"";"";"";"";"101";"101";"17 901"
"LV";"LTD Latvian Theatrical Distribution";"28/03/2014";"17 650";"";"";"";"";"";"";"";"17 650"
"ME";"";"";"829";"";"";"";"";"";"";"";"829"
"MK";"MCF (MK)";"";"3 033";"";"";"";"";"";"";"";"3 033"
"NL";"Walt Disney Studios Motion Pictures (NL)";"13/03/2014";"292 896";"";"190";"219";"789";"414";"3 289";"4 492";"297 797"
"NO";"20th Century Fox (NO)";"21/03/2014";"73 650";"131";"";"15";"";"";"";"";"73 796"
"PL";"Imperial Cinepix";"28/03/2014";"194 158";"3 369";"2 200";"";"";"";"";"";"199 727"
"PT";"Big Picture 2 Films";"10/04/2014";"83 275";"12 402";"";"";"";"";"";"";"95 677"
"RO";"Odeon Cineplex";"21/03/2014";"49 332";"192";"";"";"";"";"";"";"49 524"
"RU";"Artpokaz (RU)";"13/03/2014";"739 960";"5 314";"";"";"";"1 686";"647";"2 333";"747 607"
"SE";"20th Century Fox (SE)";"21/03/2014";"231 048";"440";"76";"";"";"";"";"";"231 564"
"SI";"Blitz Film & Video Distribution (SI)";"27/03/2014";"10 148";"1 144";"";"";"";"";"";"";"11 292"
"SK";"Barracuda Movie/CinemArt (SK)";"20/03/2014";"20 874";"675";"473";"283";"";"";"";"";"22 305"
"TR";"Tiglon";"11/04/2014";"88 965";"";"";"";"";"";"";"";"88 965"
"EUR EU";"";"";"7 224 926";"124 692";"7 542";"1 756";"2 377";"469";"10 116";"12 962";"7 371 878"
"EUR OBS";"";"";"8 324 102";"131 094";"7 795";"2 314";"2 377";"2 333";"10 813";"15 523";"8 480 828"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014"
" - film_id : 46807"
