"Market";"Distributor";"Release date";"2005";"2006";"2007";"2008";"2009";"2010";"2015";"2009-2015";"Total since 2005"
"AT";"20th Century Fox (AT)";"05/05/2005";"232 521";"";"";"";"";"";"";"";"232 521"
"BE";"";"";"346 521";"";"";"";"";"";"";"";"346 521"
"BG";"Aleksandra";"06/05/2005";"100 297";"";"";"";"";"";"";"";"100 297"
"CH";"";"";"205 797";"";"";"";"";"";"";"";"205 797"
"CZ";"Bontonfilm";"05/05/2005";"141 010";"2 564";"30";"";"250";"318";"";"568";"144 172"
"DE";"20th Century Fox (DE)";"05/05/2005";"1 950 354";"";"";"";"";"";"60";"60";"1 950 414"
"DK";"SF Film (DK)";"06/05/2005";"147 368";"";"";"";"40";"";"";"40";"147 408"
"EE";"MPDE";"07/05/2005";"20 699";"";"";"";"";"";"";"";"20 699"
"ES";"Hispano Foxfilms";"04/05/2005";"2 386 774";"121";"10";"1";"";"";"";"";"2 386 906"
"FI";"SF Film Finland [FS Film]";"04/05/2005";"85 231";"";"";"";"";"";"";"";"85 231"
"FR";"Pathé Distribution (FR)";"04/05/2005";"1 270 000";"2 187";"";"";"";"";"";"";"1 272 187"
"GB";"20th Century Fox (GB)";"06/05/2005";"1 659 844";"";"";"";"";"";"";"";"1 659 844"
"HU";"Intercom";"05/05/2005";"200 563";"";"";"";"";"";"";"";"200 563"
"IS";"";"";"14 260";"";"";"";"";"";"";"";"14 260"
"IT";"Medusa Film";"06/05/2005";"1 259 355";"";"";"";"";"";"";"";"1 259 355"
"LT";"";"";"29 095";"";"";"";"";"";"";"";"29 095"
"LU";"";"";"11 000";"";"";"";"";"";"";"";"11 000"
"LV";"Baltic Cinema";"06/05/2005";"20 739";"";"";"";"";"";"";"";"20 739"
"NL";"20th Century Fox (NL)";"05/05/2005";"332 257";"";"";"";"";"";"";"";"332 257"
"NO";"";"";"146 544";"";"";"";"";"";"";"";"146 544"
"PL";"Cinepix";"06/05/2005";"418 812";"1 041";"";"";"";"";"";"";"419 853"
"PT";"";"05/05/2005";"221 960";"";"";"";"";"";"";"";"221 960"
"RO";"Intercomfilm";"06/05/2005";"89 348";"276";"";"";"";"";"";"";"89 624"
"SE";"20th Century Fox (AT)";"04/05/2005";"163 687";"";"";"";"";"";"";"";"163 687"
"SI";"Continental Film (SI)";"05/05/2005";"50 175";"179";"";"";"";"";"";"";"50 354"
"TR";"Ozen Film";"06/05/2005";"647 782";"";"1 675";"";"";"";"";"";"649 457"
"EUR EU";"";"";"11 137 610";"6 368";"40";"1";"290";"318";"60";"668";"11 144 687"
"EUR OBS";"";"";"12 151 993";"6 368";"1 715";"1";"290";"318";"60";"668";"12 160 745"
"US_CA";"";"";"7 394 448";"";"";"";"";"";"";"";"7 394 448"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2015, 2010, 2009, 2008, 2007, 2006, 2005"
" - film_id : 23748"
