"Market";"Distributor";"Release date";"2000";"2001";"2002";"2003";"2004";"2006";"2004-2006";"Total since 2000"
"BE";"";"";"";"35 773";"";"";"";"";"";"35 773"
"CH";"";"";"";"21 071";"";"";"";"";"";"21 071"
"DE";"UIP (DE)";"";"";"33 875";"";"";"";"";"";"33 875"
"DK";"UIP (DK)";"";"";"27 550";"1 980";"13";"335";"62";"397";"29 940"
"ES";"";"";"";"291 386";"1 870";"624";"";"";"";"293 880"
"FR";"";"";"";"622 851";"2 575";"943";"19";"";"19";"626 388"
"GB";"";"";"";"1 896 125";"";"";"";"";"";"1 896 125"
"IS";"";"";"";"9 143";"";"";"";"";"";"9 143"
"NL";"";"";"";"19 463";"";"";"";"";"";"19 463"
"EUR EU";"";"";"";"2 927 023";"6 425";"1 580";"354";"62";"416";"2 935 444"
"EUR OBS";"";"";"";"2 957 237";"6 425";"1 580";"354";"62";"416";"2 965 658"
"US_CA";"";"";"12 946 490";"983 684";"";"";"";"";"";"13 930 174"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2006, 2004, 2003, 2002, 2001, 2000"
" - film_id : 15131"
