"Market";"Distributor";"Release date";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2010";"2011";"2012";"2013";"2015";"2016";"2017";"2006-2017";"Total since 2001"
"BE";"";"";"91 153";"479";"57";"";"";"";"";"";"";"";"";"";"";"";"";"91 689"
"BG";"";"";"";"4 663";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 663"
"CH";"Pathé Films (CH)";"20/03/2002";"118 024";"";"";"";"";"";"";"";"";"";"94";"";"";"";"94";"118 118"
"CY";"";"";"528";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"528"
"CZ";"Hollywood";"09/05/2002";"23 540";"999";"146";"87";"";"20";"";"";"";"";"";"";"";"";"20";"24 792"
"DE";"UIP (DE)";"13/06/2002";"467 455";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"467 455"
"DK";"Angel Films";"08/02/2002";"90 343";"401";"117";"";"";"";"";"";"";"";"";"";"";"";"";"90 861"
"ES";"Lauren Films";"07/03/2002";"1 030 363";"379";"";"";"";"251";"";"";"";"";"";"";"";"";"251";"1 030 993"
"FI";"";"";"23 217";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"23 217"
"FR";"";"20/03/2002";"814 313";"13 624";"227";"";"56";"";"";"";"";"";"";"";"";"";"56";"828 220"
"GB";"Entertainment (GB)";"01/02/2002";"2 685 254";"";"";"";"";"";"";"";"";"";"";"236";"45";"63";"344";"2 685 598"
"GR";"Spentzos Film";"22/02/2002";"113 040";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"113 040"
"HU";"";"";"9 182";"2 481";"147";"";"";"";"";"";"";"";"";"";"";"";"";"11 810"
"IS";"";"";"5 194";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 194"
"IT";"Medusa Film";"08/03/2002";"739 077";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"739 077"
"LU";"";"";"10 145";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10 145"
"NL";"A-Film (NL)";"07/03/2002";"88 781";"1 285";"";"";"";"221";"85";"36";"10";"24";"";"";"";"";"376";"90 442"
"NO";"";"";"65 718";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"65 718"
"PL";"Vision";"10/05/2002";"121 066";"1 754";"";"";"";"";"";"";"";"";"";"";"";"";"";"122 820"
"PT";"";"";"73 454";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73 454"
"RO";"";"";"10 700";"1 757";"62";"";"";"";"";"";"";"";"";"";"";"";"";"12 519"
"SE";"Triangelfilm";"06/09/2002";"116 550";"19 610";"77";"";"";"";"";"";"";"";"";"";"";"";"";"136 237"
"SK";"Continental Film (SK)";"04/07/2002";"5 295";"243";"10";"22";"";"";"";"";"";"";"";"";"";"";"";"5 570"
"EUR EU";"";"";"6 513 456";"47 675";"843";"109";"56";"492";"85";"36";"10";"24";"";"236";"45";"63";"1 047";"6 563 130"
"EUR OBS";"";"";"6 702 392";"47 675";"843";"109";"56";"492";"85";"36";"10";"24";"94";"236";"45";"63";"1 141";"6 752 160"
"US_CA";"";"";"7 031 763";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7 031 763"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2017, 2016, 2015, 2013, 2012, 2011, 2010, 2008, 2007, 2006, 2005, 2004, 2003, 2002"
" - film_id : 18708"
