"Market";"Distributor";"Release date";"2006";"2008";"2009";"Total since 2006"
"AT";"";"13/04/2006";"102 147";"";"";"102 147"
"BE";"Kinepolis Film Distribution (BE)";"22/03/2006";"167 444";"";"";"167 444"
"CH";"Warner Bros. (CH)";"22/03/2006";"46 527";"";"";"46 527"
"DE";"Warner Bros. (DE)";"13/04/2006";"623 259";"";"";"623 259"
"EE";"Forum Cinemas (EE)";"31/03/2006";"9 693";"";"111";"9 804"
"ES";"Tripictures";"10/03/2006";"360 400";"1 490";"440";"362 330"
"FR";"Metropolitan Filmexport";"22/03/2006";"839 270";"";"";"839 270"
"GB";"Entertainment (GB)";"10/02/2006";"1 850 183";"";"";"1 850 183"
"IS";"";"";"5 506";"";"";"5 506"
"IT";"Eagle Pictures";"24/03/2006";"344 640";"";"";"344 640"
"LU";"";"14/04/2006";"8 500";"";"";"8 500"
"LV";"Forum Cinemas (LV)";"31/03/2006";"13 137";"";"";"13 137"
"NL";"RCV Entertainment";"06/04/2006";"88 092";"";"";"88 092"
"PL";"Warner (PL)";"24/03/2006";"125 168";"";"";"125 168"
"PT";"Prisvideo Edicoes";"11/05/2006";"36 527";"";"";"36 527"
"SI";"Ljubljanski Kinematografi";"23/03/2006";"12 223";"";"";"12 223"
"SK";"Continental Film (SK)";"23/03/2006";"21 536";"50";"";"21 586"
"TR";"Ozen Film";"28/04/2006";"141 483";"";"";"141 483"
"EUR EU";"";"";"4 602 219";"1 540";"551";"4 604 310"
"EUR OBS";"";"";"4 795 735";"1 540";"551";"4 797 826"
"US_CA";"";"";"8 259 244";"";"";"8 259 244"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2009, 2008, 2006"
" - film_id : 25615"
