"Market";"Distributor";"Release date";"2005";"2006";"2007";"2013";"2014";"2015";"2016";"2014-2016";"Total since 2005"
"AT";"Warner Bros. (AT)";"18/03/2005";"79 626";"";"";"";"";"";"";"";"79 626"
"BE";"";"";"156 799";"";"";"";"";"";"";"";"156 799"
"CH";"";"";"57 524";"";"";"";"";"";"";"";"57 524"
"CZ";"Bioscop (AQS)";"07/07/2005";"59 318";"";"";"6";"310";"58";"";"368";"59 692"
"DE";"Warner Bros. (DE)";"17/03/2005";"438 368";"";"";"";"";"";"";"";"438 368"
"DK";"Nordisk, Constantin, Fox";"";"13 002";"";"";"";"";"";"";"";"13 002"
"ES";"Manga Films";"21/10/2005";"317 292";"1 779";"1 472";"";"";"";"";"";"320 543"
"FI";"Nordisk Film Theatrical Dist.";"27/05/2005";"17 215";"";"";"";"";"";"";"";"17 215"
"FR";"";"";"723 881";"";"";"";"";"";"";"";"723 881"
"GB";"Entertainment (GB)";"11/03/2005";"861 652";"";"";"";"";"";"";"";"861 652"
"HU";"SPI Hungary";"21/07/2005";"37 606";"";"";"";"";"";"";"";"37 606"
"IS";"";"";"6 475";"";"";"";"";"";"";"";"6 475"
"IT";"";"";"207 578";"";"";"";"";"";"";"";"207 578"
"LU";"";"";"7 700";"";"";"";"";"";"";"";"7 700"
"LV";"Forum Cinemas (LV)";"19/05/2006";"";"1 532";"";"";"";"";"";"";"1 532"
"NL";"Independent Films (NL)";"26/05/2005";"90 213";"";"";"";"";"";"";"";"90 213"
"NO";"";"";"27 960";"";"";"";"";"";"";"";"27 960"
"PL";"Kino Swiat";"16/09/2005";"132 493";"";"";"";"";"";"";"";"132 493"
"PT";"";"21/04/2005";"52 729";"";"";"";"";"";"";"";"52 729"
"RO";"Pro Video";"05/08/2005";"16 742";"601";"";"";"";"";"";"";"17 343"
"SE";"Sony Pictures Releasing (SE)";"22/04/2005";"51 720";"";"";"";"";"";"";"";"51 720"
"SK";"Barracuda Movie/CinemArt (SK)";"15/09/2005";"";"87";"";"";"5";"";"278";"283";"370"
"TR";"Warner Bros. (TR)";"29/04/2005";"90 028";"";"";"";"";"";"";"";"90 028"
"EUR EU";"";"";"3 263 934";"3 999";"1 472";"6";"315";"58";"278";"651";"3 270 062"
"EUR OBS";"";"";"3 445 921";"3 999";"1 472";"6";"315";"58";"278";"651";"3 452 049"
"US_CA";"";"";"5 404 046";"";"";"";"";"";"";"";"5 404 046"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2015, 2014, 2013, 2007, 2006, 2005"
" - film_id : 23770"
