"Market";"Distributor";"Release date";"2012";"2013";"2014";"Total since 2012"
"AT";"Sony Pictures (AT)";"10/02/2012";"116 370";"";"";"116 370"
"BE";"Sony Pictures Releasing (BE)";"09/05/2012";"69 868";"";"";"69 868"
"BG";"Aleksandra";"";"16 056";"";"";"16 056"
"CH";"Walt Disney (CH)";"09/02/2012";"85 075";"";"";"85 075"
"CZ";"Falcon";"29/03/2012";"16 669";"311";"";"16 980"
"DE";"Sony Pictures Releasing (DE)";"09/02/2012";"879 575";"";"137";"879 712"
"DK";"SF Film (DK)";"";"35 456";"";"";"35 456"
"EE";"Acme (EE)";"10/02/2012";"10 820";"";"";"10 820"
"ES";"Sony Pictures Releasing De Espana";"";"801 002";"";"";"801 002"
"FR";"Sony Pictures Releasing (FR)";"16/05/2012";"287 364";"";"";"287 364"
"GB";"Sony Pictures (GB)";"10/02/2012";"870 572";"";"";"870 572"
"GR";"Audiovisual";"";"38 469";"";"";"38 469"
"HR";"Sony Pictures Releasing (HR)";"09/02/2012";"20 561";"";"";"20 561"
"HU";"Forum-Hungary";"09/02/2012";"65 884";"";"";"65 884"
"IT";"Warner Bros. (IT)";"25/07/2012";"36 400";"";"";"36 400"
"LV";"Forum Cinemas (LV)";"10/02/2012";"6 458";"";"";"6 458"
"NL";"Sony Pictures Releasing (NL)";"";"110 792";"";"";"110 792"
"NO";"SF Norway";"18/05/2012";"9 031";"";"";"9 031"
"PL";"Forum Film (PL)";"10/02/2012";"415 001";"";"";"415 001"
"PT";"ZON Lusomundo Audiovisuais";"09/02/2012";"46 529";"";"";"46 529"
"RO";"Intercomfilm";"24/02/2012";"51 662";"71";"";"51 733"
"RU";"Walt Disney Studios Sony Pictures Releasing";"01/03/2012";"415 009";"";"";"415 009"
"SE";"SF Film (SE)";"04/05/2012";"35 991";"";"";"35 991"
"SI";"Continental Film (SI)";"09/02/2012";"21 506";"";"";"21 506"
"SK";"Itafilm";"16/02/2012";"29 725";"";"";"29 725"
"TR";"Warner Bros. (TR)";"13/04/2012";"101 592";"";"";"101 592"
"EUR EU";"";"";"3 982 730";"382";"137";"3 983 249"
"EUR OBS";"";"";"4 593 437";"382";"137";"4 593 956"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2014, 2013, 2012"
" - film_id : 40148"
