"Market";"Distributor";"Release date";"2019";"2020";"Total since 2019"
"AT";"Constantin Film (AT)";"31/10/2019";"461 126";"44 079";"505 205"
"CH";"Presence Production (CH)";"31/10/2019";"206 803";"37 592";"244 395"
"CZ";"Bontonfilm";"18/06/2020";"";"95 190";"95 190"
"DE";"Constantin Film (DE)";"31/10/2019";"4 623 306";"691 427";"5 314 733"
"HU";"Prorom Entertainment Kft.";"22/10/2020";"";"18 036";"18 036"
"LU";"";"";"16 346";"2 173";"18 519"
"SK";"Bontonfilm (SK)";"18/06/2020";"";"44 898";"44 898"
"EUR EU";"";"";"5 100 778";"895 803";"5 996 581"
"EUR OBS";"";"";"5 307 581";"933 395";"6 240 976"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019"
" - film_id : 85152"
