"Market";"Distributor";"Release date";"2006";"2007";"2009";"2012";"2014";"Total since 2006"
"AT";"Constantin Film (AT)";"30/03/2006";"55 229";"";"";"";"";"55 229"
"BE";"Belga Films (BE)";"05/04/2006";"87 098";"";"";"";"";"87 098"
"CH";"Elite Film";"29/03/2006";"45 954";"";"";"";"";"45 954"
"CZ";"Intersonic (CZ)";"06/04/2006";"36 777";"47";"";"";"2";"36 826"
"DE";"Constantin Film (DE)";"30/03/2006";"275 642";"";"";"";"";"275 642"
"DK";"SF Film (DK)";"21/04/2006";"6 022";"";"";"";"";"6 022"
"EE";"Forum Cinemas (EE)";"04/07/2006";"3 409";"";"";"";"";"3 409"
"ES";"Universal Pictures Int'l Spain";"29/03/2006";"437 458";"";"1 327";"7 062";"";"445 847"
"FI";"SF Film Finland [FS Film]";"07/04/2006";"13 541";"";"";"";"";"13 541"
"FR";"Océan Films";"29/03/2006";"442 486";"";"";"";"";"442 486"
"GB";"Entertainment (GB)";"31/03/2006";"237 230";"";"";"";"";"237 230"
"IS";"";"";"3 870";"";"";"";"";"3 870"
"IT";"Warner Bros. (IT)";"31/03/2006";"433 648";"";"";"";"";"433 648"
"LV";"Acme (LV)";"07/04/2006";"13 825";"";"";"";"";"13 825"
"NL";"Independent Films (NL)";"30/03/2006";"34 699";"";"";"";"";"34 699"
"NO";"SF Norway";"28/04/2006";"9 541";"";"";"";"";"9 541"
"PL";"Best Film";"29/03/2006";"121 326";"";"";"";"";"121 326"
"PT";"LNK Audiovisuais";"06/04/2006";"153 574";"";"";"";"";"153 574"
"RO";"Pro Video";"31/03/2006";"34 852";"";"";"";"";"34 852"
"SE";"Svensk Filmindustri";"07/04/2006";"12 446";"";"";"";"";"12 446"
"SI";"Karantanija Cinemas";"30/03/2006";"39 332";"";"";"";"";"39 332"
"SK";"Intersonic SK";"06/04/2006";"13 184";"6";"";"";"";"13 190"
"TR";"UNP";"31/03/2006";"291 036";"";"";"";"";"291 036"
"EUR EU";"";"";"2 451 778";"53";"1 327";"7 062";"2";"2 460 222"
"EUR OBS";"";"";"2 802 179";"53";"1 327";"7 062";"2";"2 810 623"
"US_CA";"";"";"907 807";"";"";"";"";"907 807"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2014, 2012, 2009, 2007, 2006"
" - film_id : 25643"
