"Market";"Distributor";"Release date";"2003";"2004";"2005";"2006";"2007";"2009";"2015";"2020";"2007-2020";"Total since 2003"
"AT";"";"";"244 451";"";"";"";"";"";"";"";"";"244 451"
"BE";"";"";"359 327";"";"";"";"";"";"";"";"";"359 327"
"BG";"Sunny";"29/08/2003";"40 055";"42 411";"28";"";"";"";"";"";"";"82 494"
"CH";"Universal Pictures (CH)";"18/06/2003";"160 149";"";"";"";"";"";"";"79";"79";"160 228"
"CY";"";"";"36 342";"";"";"";"";"";"";"";"";"36 342"
"CZ";"CinemArt (CZ)";"19/06/2003";"160 271";"364";"564";"";"";"";"70";"96";"166";"161 365"
"DE";"UIP (DE)";"19/06/2003";"1 687 432";"";"";"";"";"";"";"";"";"1 687 432"
"DK";"UIP (DK)";"20/06/2003";"116 454";"";"106";"237";"";"383";"";"";"383";"117 180"
"EE";"MPDE";"29/08/2003";"22 573";"";"";"";"";"";"";"";"";"22 573"
"ES";"UIP - United International Pictures (ES)";"19/06/2003";"1 307 843";"";"";"341";"";"";"";"";"";"1 308 184"
"FI";"";"";"61 843";"";"";"";"";"";"";"";"";"61 843"
"FR";"Paramount Pictures (FR)";"18/06/2003";"1 690 524";"146";"";"1 903";"";"";"";"";"";"1 692 573"
"GB";"";"";"1 585 153";"";"";"";"";"";"";"";"";"1 585 153"
"HU";"";"";"166 672";"";"";"";"";"";"";"";"";"166 672"
"IS";"";"";"16 690";"";"";"";"";"";"";"";"";"16 690"
"IT";"";"";"549 199";"";"";"";"";"";"";"";"";"549 199"
"LT";"";"";"70 541";"";"";"";"";"";"";"";"";"70 541"
"LU";"";"";"16 400";"";"";"";"";"";"";"";"";"16 400"
"NL";"";"";"418 094";"";"";"";"";"";"";"";"";"418 094"
"NO";"";"";"146 469";"";"";"";"";"";"";"";"";"146 469"
"PL";"";"";"229 693";"";"";"";"";"";"";"";"";"229 693"
"RO";"Ro-Image 2000";"01/08/2003";"97 448";"1 317";"82";"";"";"";"";"";"";"98 847"
"SE";"";"";"176 243";"";"";"";"";"";"";"";"";"176 243"
"SI";"Karantanija Cinemas";"26/06/2003";"";"";"";"";"2";"";"";"";"2";"2"
"SK";"CinemaArt (SK)";"19/06/2003";"37 396";"";"";"";"";"";"";"3";"3";"37 399"
"TR";"";"";"178 006";"";"";"";"";"";"";"";"";"178 006"
"EUR EU";"";"";"9 073 954";"44 238";"780";"2 481";"2";"383";"70";"99";"554";"9 122 007"
"EUR OBS";"";"";"9 575 268";"44 238";"780";"2 481";"2";"383";"70";"178";"633";"9 623 400"
"US_CA";"Universal Pictures (US)";"06/06/2003";"21 077 022";"";"";"";"";"";"";"";"";"21 077 022"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2015, 2009, 2007, 2006, 2005, 2004, 2003"
" - film_id : 20313"
