"Market";"Distributor";"Release date";"2005";"2006";"2008";"2010";"Total since 2005"
"AT";"";"06/01/2006";"";"99 722";"";"";"99 722"
"BE";"UIP (BE)";"11/01/2006";"";"129 222";"";"";"129 222"
"CH";"UIP (CH)";"05/01/2006";"";"50 198";"";"";"50 198"
"CZ";"Bontonfilm";"16/02/2006";"";"18 490";"40";"";"18 530"
"DE";"UIP (DE)";"05/01/2006";"";"611 336";"";"";"611 336"
"DK";"UIP (DK)";"13/01/2006";"810";"36 086";"";"29";"36 925"
"EE";"Forum Cinemas (EE)";"02/10/2006";"";"2 319";"";"";"2 319"
"ES";"Universal Pictures Int'l Spain";"02/01/2006";"";"331 805";"";"";"331 805"
"FI";"Buena Vista (FI)";"20/01/2006";"";"13 858";"";"";"13 858"
"FR";"Paramount Pictures (FR)";"11/01/2006";"";"234 569";"";"";"234 569"
"GB";"UIP (GB)";"13/01/2006";"";"1 114 129";"";"";"1 114 129"
"HU";"UIP-Dunafilm";"05/01/2006";"";"31 401";"";"";"31 401"
"IS";"";"";"";"5 750";"";"";"5 750"
"IT";"UIP (IT)";"17/02/2006";"";"141 285";"";"";"141 285"
"LV";"Forum Cinemas (LV)";"13/01/2006";"";"5 452";"";"";"5 452"
"NL";"Universal Pictures Int (NL)";"12/01/2006";"";"77 469";"9";"";"77 478"
"NO";"UIP (NO)";"20/01/2006";"";"46 664";"15";"";"46 679"
"PL";"UIP (PL)";"06/01/2006";"";"64 709";"";"";"64 709"
"PT";"ZON Lusomundo Audiovisuais";"12/01/2006";"";"84 024";"";"";"84 024"
"RO";"Ro-Image 2000";"";"";"10 914";"";"";"10 914"
"SE";"";"";"";"53 943";"";"";"53 943"
"SI";"Karantanija Cinemas";"12/01/2006";"";"13 320";"";"";"13 320"
"SK";"Tatra Film";"16/02/2006";"";"6 302";"";"";"6 302"
"TR";"UIP (TR)";"10/02/2006";"";"24 046";"";"";"24 046"
"EUR EU";"";"";"810";"3 080 355";"49";"29";"3 081 243"
"EUR OBS";"";"";"810";"3 207 013";"64";"29";"3 207 916"
"US_CA";"";"";"9 747 115";"";"";"";"9 747 115"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2010, 2008, 2006, 2005"
" - film_id : 24538"
