"Market";"Distributor";"Release date";"2008";"2009";"2010";"2011";"Total since 2008"
"AT";"Universal Pictures (AT)";"08/08/2008";"194 729";"";"";"";"194 729"
"BE";"UPI (BE)";"13/08/2008";"304 000";"";"";"";"304 000"
"BG";"Prooptiki (BG)";"08/08/2008";"68 500";"";"";"";"68 500"
"CH";"Universal Pictures (CH)";"06/08/2008";"109 059";"";"";"";"109 059"
"CZ";"Bontonfilm";"31/07/2008";"200 578";"1 584";"150";"40";"202 352"
"DE";"Universal Pictures (DE)";"07/08/2008";"1 674 475";"";"";"";"1 674 475"
"DK";"UIP (DK)";"08/08/2008";"67 754";"";"";"";"67 754"
"EE";"Forum Cinemas (EE)";"";"";"42";"";"";"42"
"ES";"Universal Pictures Int'l Spain";"30/07/2008";"2 157 136";"87";"";"";"2 157 223"
"FI";"Finnkino";"08/08/2008";"41 562";"";"";"";"41 562"
"FR";"Universal Pictures";"06/08/2008";"1 555 572";"";"";"";"1 555 572"
"GB";"Universal Pictures (GB)";"08/08/2008";"2 203 364";"1 512";"";"";"2 204 876"
"HR";"Blitz Film & Video Distribution (HR)";"";"60 893";"";"";"";"60 893"
"HU";"UIP-Dunafilm";"31/07/2008";"284 256";"";"";"";"284 256"
"IS";"";"";"12 550";"";"";"";"12 550"
"IT";"Universal (IT)";"26/09/2008";"884 023";"281";"";"";"884 304"
"LT";"";"01/08/2008";"59 947";"";"";"";"59 947"
"LV";"Forum Cinemas (LV)";"01/08/2008";"46 535";"";"";"";"46 535"
"NL";"Universal Pictures Int (NL)";"31/07/2008";"250 337";"";"";"";"250 337"
"NO";"UIP (NO)";"";"67 575";"";"";"";"67 575"
"PL";"UIP (PL)";"01/08/2008";"435 403";"";"";"";"435 403"
"PT";"ZON Lusomundo Audiovisuais";"31/07/2008";"279 680";"";"";"";"279 680"
"RO";"Ro-Image 2000";"08/08/2008";"71 775";"1 038";"";"";"72 813"
"SE";"UIP / Universal";"08/08/2008";"99 020";"93";"";"";"99 113"
"SI";"Karantanija Cinemas";"14/08/2008";"34 856";"";"";"";"34 856"
"SK";"Tatra Film";"31/07/2008";"66 131";"39";"";"";"66 170"
"TR";"UIP (TR)";"01/08/2008";"446 518";"";"";"";"446 518"
"EUR EU";"";"";"11 040 526";"4 676";"150";"40";"11 045 392"
"EUR OBS";"";"";"11 676 228";"4 676";"150";"40";"11 681 094"
"US_CA";"Universal Pictures (US)";"01/08/2008";"14 271 433";"";"";"";"14 271 433"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2011, 2010, 2009, 2008"
" - film_id : 30042"
