"Market";"Distributor";"Release date";"2006";"2007";"2008";"2010";"2011";"2019";"2011-2019";"Total since 2006"
"AT";"";"05/10/2006";"23 038";"";"";"";"";"";"";"23 038"
"CH";"Elite Film";"13/10/2006";"23 494";"81";"";"";"4";"19";"23";"23 598"
"DE";"Warner Bros. (DE)";"05/10/2006";"103 684";"6 971";"";"";"";"";"";"110 655"
"DK";"Scanbox Entertainment (DK)";"17/11/2006";"3 233";"68";"";"";"";"";"";"3 301"
"EE";"";"20/01/2007";"";"1 651";"";"";"";"";"";"1 651"
"ES";"Tripictures";"10/10/2006";"523 089";"3 366";"1 446";"";"";"";"";"527 901"
"FI";"Scanbox Finland";"29/12/2006";"4 086";"14 419";"";"142";"";"";"";"18 647"
"FR";"Metropolitan Filmexport";"08/11/2006";"412 157";"";"";"";"";"";"";"412 157"
"GB";"Entertainment (GB)";"15/09/2006";"353 069";"";"";"";"";"";"";"353 069"
"HU";"Hungaricom";"22/03/2007";"";"14 725";"";"";"";"";"";"14 725"
"IS";"";"";"";"1 396";"";"";"";"";"";"1 396"
"IT";"01 Distribution";"29/09/2006";"392 860";"2 351";"30";"";"";"";"";"395 241"
"LV";"Acme (LV)";"08/12/2006";"5 784";"";"";"";"";"";"";"5 784"
"NL";"Moonlight Films";"02/11/2006";"13 945";"416";"69";"";"";"";"";"14 430"
"NO";"Scanbox (NO)";"26/12/2006";"3 586";"5 856";"";"";"";"";"";"9 442"
"PL";"Kino Swiat";"17/08/2007";"";"51 901";"";"";"";"";"";"51 901"
"PT";"ZON Lusomundo Audiovisuais";"05/10/2006";"79 305";"996";"";"";"";"";"";"80 301"
"RO";"Media Pro Pictures";"01/12/2006";"9 325";"120";"";"";"";"";"";"9 445"
"SE";"Scanbox Entertainment (SE)";"15/12/2006";"11 026";"12 493";"";"";"";"";"";"23 519"
"SI";"Karantanija Cinemas";"28/09/2006";"11 188";"41";"";"";"";"";"";"11 229"
"TR";"Ozen Film";"09/02/2007";"";"24 562";"";"";"";"";"";"24 562"
"EUR EU";"";"";"1 945 789";"109 518";"1 545";"142";"";"";"0";"2 056 994"
"EUR OBS";"";"";"1 972 869";"141 413";"1 545";"142";"4";"19";"23";"2 115 992"
"US_CA";"";"";"3 461 498";"";"";"";"";"";"";"3 461 498"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2011, 2010, 2008, 2007, 2006"
" - film_id : 25662"
