"Market";"Distributor";"Release date";"2003";"2004";"2005";"2006";"2009";"2010";"2009-2010";"Total since 2003"
"BE";"";"";"102 170";"";"";"";"";"";"";"102 170"
"CH";"Elite Film";"04/04/2003";"54 381";"";"";"";"30";"24";"54";"54 435"
"CZ";"Bontonfilm";"28/08/2003";"12 886";"360";"135";"";"";"";"";"13 381"
"DE";"UIP (DE)";"13/03/2003";"296 655";"";"";"";"";"";"";"296 655"
"DK";"UIP (DK)";"02/05/2003";"13 356";"53";"";"";"40";"";"40";"13 449"
"ES";"";"";"235 488";"";"";"";"";"";"";"235 488"
"FI";"";"";"5 858";"";"";"";"";"";"";"5 858"
"FR";"Paramount Pictures (FR)";"23/04/2003";"482 215";"341";"";"229";"";"";"";"482 785"
"GB";"";"";"503 761";"";"";"";"";"";"";"503 761"
"HU";"";"";"11 902";"";"";"";"";"";"";"11 902"
"IS";"";"";"2 999";"";"";"";"";"";"";"2 999"
"IT";"";"";"159 948";"";"";"";"";"";"";"159 948"
"NL";"";"";"50 964";"";"";"";"";"";"";"50 964"
"NO";"";"";"13 394";"";"";"";"";"";"";"13 394"
"PL";"Monolith";"11/07/2003";"94 785";"";"";"";"";"";"";"94 785"
"RO";"Intercomfilm";"19/12/2003";"2 279";"213";"6";"";"";"";"";"2 498"
"SE";"";"";"13 637";"";"";"";"";"";"";"13 637"
"SK";"Tatra Film";"16/10/2003";"";"";"";"36";"";"";"";"36"
"TR";"";"";"9 763";"";"";"";"";"";"";"9 763"
"EUR EU";"";"";"1 985 904";"967";"141";"265";"40";"";"40";"1 987 317"
"EUR OBS";"";"";"2 066 441";"967";"141";"265";"70";"24";"94";"2 067 908"
"US_CA";"";"";"3 254 766";"";"";"";"";"";"";"3 254 766"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2010, 2009, 2006, 2005, 2004, 2003"
" - film_id : 20371"
