"Market";"Distributor";"Release date";"2003";"2004";"2005";"2012";"Total since 2003"
"AT";"";"";"406 441";"";"";"";"406 441"
"BE";"";"";"396 883";"";"";"";"396 883"
"BG";"Sunny";"24/10/2003";"26 038";"29 782";"";"";"55 820"
"CH";"";"";"273 256";"";"";"";"273 256"
"CY";"";"";"26 167";"";"";"";"26 167"
"CZ";"Bontonfilm";"23/10/2003";"165 655";"12 887";"120";"";"178 662"
"DE";"UIP (DE)";"21/08/2003";"2 811 208";"12 054";"";"";"2 823 262"
"DK";"";"";"119 064";"613";"";"";"119 677"
"EE";"MPDE";"01/08/2003";"21 475";"";"";"";"21 475"
"ES";"";"";"1 680 519";"1 036";"";"";"1 681 555"
"FI";"";"";"79 981";"601";"";"";"80 582"
"FR";"";"";"1 898 325";"2 163";"";"";"1 900 488"
"GB";"";"";"3 562 198";"";"";"";"3 562 198"
"HU";"";"";"395 076";"";"";"";"395 076"
"IS";"";"";"22 186";"";"";"";"22 186"
"IT";"";"";"907 427";"1 524";"";"";"908 951"
"LT";"";"";"24 603";"";"";"";"24 603"
"LU";"";"";"19 200";"";"";"";"19 200"
"NL";"";"";"439 717";"";"";"";"439 717"
"NO";"UIP (NO)";"19/09/2003";"179 999";"";"";"150";"180 149"
"PL";"";"";"183 934";"";"";"";"183 934"
"PT";"ZON Lusomundo Audiovisuais";"12/09/2003";"";"";"";"9";"9"
"RO";"Ro-Image 2000";"24/10/2003";"95 831";"10 430";"15";"";"106 276"
"SE";"";"";"169 326";"157";"";"";"169 483"
"SI";"";"";"71 871";"";"";"";"71 871"
"SK";"Tatra Film";"23/10/2003";"63 867";"";"";"";"63 867"
"TR";"";"";"283 936";"";"";"";"283 936"
"EUR EU";"";"";"13 564 806";"71 247";"135";"9";"13 636 197"
"EUR OBS";"";"";"14 324 183";"71 247";"135";"159";"14 395 724"
"US_CA";"";"";"17 312 158";"";"";"";"17 312 158"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2012, 2005, 2004, 2003"
" - film_id : 20306"
