"Market";"Distributor";"Release date";"2007";"2008";"2009";"2010";"2014";"Total since 2007"
"AT";"Warner Bros. (AT)";"20/12/2007";"77 707";"244 843";"";"";"";"322 550"
"CH";"Warner Bros. (CH)";"20/12/2007";"35 651";"130 012";"9";"106";"";"165 778"
"DE";"Warner Bros. (DE)";"20/12/2007";"1 407 336";"4 878 676";"";"";"";"6 286 012"
"ES";"Key2media Audiovisual";"17/04/2009";"";"";"30 968";"";"";"30 968"
"HU";"Budapestfilm";"06/10/2009";"";"";"";"";"65";"65"
"EUR EU";"";"";"1 485 043";"5 123 519";"30 968";"";"65";"6 639 595"
"EUR OBS";"";"";"1 520 694";"5 253 531";"30 977";"106";"65";"6 805 373"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2014, 2010, 2009, 2008, 2007"
" - film_id : 28431"
