"Market";"Distributor";"Release date";"2011";"2012";"2013";"2014";"2015";"2016";"2019";"2015-2019";"Total since 2011"
"AT";"Constantin Film (AT)";"29/09/2011";"233 800";"";"";"";"";"";"";"";"233 800"
"BE";"Kinepolis Film Distribution (BE)";"04/07/2012";"";"17 007";"458";"";"";"";"";"";"17 465"
"CH";"Pathé Films (CH)";"29/09/2011";"43 396";"211";"";"";"";"";"";"";"43 607"
"DE";"Constantin Film (DE)";"29/09/2011";"1 743 795";"45 662";"";"";"6";"353";"145";"504";"1 789 961"
"ES";"Aurum Producciones";"01/12/2011";"64 228";"16 171";"110";"67";"15";"";"";"15";"80 591"
"NL";"Independent Films (NL)";"23/05/2012";"";"48 626";"";"";"";"";"";"";"48 626"
"PT";"ZON Lusomundo Cinemas";"07/02/2013";"";"";"5 674";"";"";"";"";"";"5 674"
"EUR EU";"";"";"2 041 823";"127 466";"6 242";"67";"21";"353";"145";"519";"2 176 117"
"EUR OBS";"";"";"2 085 219";"127 677";"6 242";"67";"21";"353";"145";"519";"2 219 724"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2016, 2015, 2014, 2013, 2012, 2011"
" - film_id : 38363"
