"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"Total since 2006"
"AT";"";"06/10/2006";"68 167";"";"";"";"68 167"
"BE";"UPI (BE)";"21/02/2007";"";"91 323";"";"";"91 323"
"CH";"Universal Pictures (CH)";"05/10/2006";"8 888";"53";"";"";"8 941"
"DE";"UIP (DE)";"05/10/2006";"411 261";"3 179";"";"";"414 440"
"DK";"UIP (DK)";"02/02/2007";"";"85 523";"622";"";"86 145"
"ES";"Universal Pictures Int'l Spain";"25/10/2006";"331 121";"8 412";"";"";"339 533"
"FI";"Finnkino/UIP (FI)";"19/01/2007";"";"40 186";"";"";"40 186"
"FR";"Paramount Pictures (FR)";"21/02/2007";"";"473 623";"";"";"473 623"
"GB";"Paramount (GB)";"20/10/2006";"926 663";"";"";"";"926 663"
"HU";"UIP-Dunafilm";"19/10/2006";"73 130";"";"";"";"73 130"
"IS";"";"";"9 680";"836";"";"";"10 516"
"IT";"Universal (IT)";"23/02/2007";"";"139 742";"99";"";"139 841"
"NL";"Universal Pictures Int (NL)";"15/02/2007";"";"148 574";"15";"";"148 589"
"NO";"UIP (NO)";"12/01/2007";"";"71 042";"98";"";"71 140"
"PT";"ZON Lusomundo Audiovisuais";"05/10/2006";"205 619";"1 086";"279";"281";"207 265"
"SE";"UIP / Paramount";"12/01/2007";"";"43 222";"";"";"43 222"
"TR";"UIP (TR)";"20/10/2006";"167 292";"3 890";"";"";"171 182"
"EUR EU";"";"";"2 015 961";"1 034 870";"1 015";"281";"3 052 127"
"EUR OBS";"";"";"2 201 821";"1 110 691";"1 113";"281";"3 313 906"
"US_CA";"";"";"11 089 740";"";"";"";"11 089 740"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2009, 2008, 2007, 2006"
" - film_id : 26066"
