"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2018-2020";"Total since 2014"
"AT";"Constantin (AT)";"11/09/2014";"99 153";"555";"177";"";"";"";"";"";"99 885"
"BG";"A Plus Films";"19/09/2014";"34 715";"593";"178";"284";"123";"199";"";"322";"36 092"
"CH";"Impuls Pictures";"11/09/2014";"42 972";"13 999";"";"";"5";"";"";"5";"56 976"
"CZ";"Intersonic (CZ)";"06/11/2014";"27 573";"4 965";"";"";"";"";"";"";"32 538"
"DE";"LEONINE Distribution GmbH";"11/09/2014";"763 807";"15 306";"1 619";"593";"139";"5 041";"9 041";"14 221";"795 546"
"DK";"Mis Label";"11/02/2016";"";"";"19 069";"";"";"";"";"";"19 069"
"EE";"GPI (EE)";"02/01/2015";"";"8 174";"";"";"5 854";"";"";"5 854";"14 028"
"ES";"DeAPlaneta";"05/09/2014";"168 740";"2 674";"54";"257";"1 321";"143";"";"1 464";"173 189"
"FI";"VL-Media";"30/10/2015";"";"5 232";"";"";"";"";"";"";"5 232"
"FR";"La Belle Company";"04/02/2015";"";"1 006 536";"";"";"";"";"";"";"1 006 536"
"GB";"WiseRealm (GB)";"23/10/2015";"";"53 168";"12 693";"";"";"";"";"";"65 861"
"GR";"Weird Wave (GR)";"19/01/2017";"";"";"";"18 641";"";"";"";"";"18 641"
"HR";"Editus (HR)";"23/10/2014";"30 283";"103";"";"";"";"";"";"";"30 386"
"HU";"Cinetel";"25/09/2014";"17 045";"83";"99";"8";"";"";"";"";"17 235"
"IE";"Wiserealm (IE)";"23/10/2015";"";"19 722";"";"";"";"";"";"";"19 722"
"IS";"Myndform";"21/09/2018";"";"";"";"";"1 279";"";"";"1 279";"1 279"
"IT";"Notorious Pictures";"18/09/2014";"221 298";"1 261";"150";"";"23";"";"";"23";"222 732"
"LT";"Garsų pasaulio įrašai (LT)";"27/02/2015";"";"15 970";"";"";"";"";"";"";"15 970"
"LV";"Garsu Pasaulio irasai (LV)";"02/01/2015";"";"6 192";"";"";"";"";"";"";"6 192"
"ME";"";"";"1 877";"";"";"";"";"";"";"";"1 877"
"MK";"Premium Film (MK)";"";"1 979";"";"";"";"";"";"";"";"1 979"
"NL";"Independent Films (NL)";"09/10/2014";"84 927";"";"";"";"";"";"";"";"84 927"
"NO";"SF Norway";"23/10/2015";"";"17 254";"849";"";"";"";"";"";"18 103"
"PL";"Monolith";"26/09/2014";"363 755";"6 594";"2 686";"1 300";"1 847";"";"";"1 847";"376 182"
"PT";"Outsider Films";"08/01/2015";"";"38 415";"";"48";"112";"";"";"112";"38 575"
"RO";"Ro-Image 2000";"26/08/2015";"";"58 759";"167";"";"";"";"";"";"58 926"
"RU";"Universal Pictures Int'l - UPI (RU)";"30/10/2014";"408 213";"26";"";"";"";"";"";"";"408 239"
"SE";"Noble Entertainment";"09/10/2015";"";"39 711";"1 226";"";"";"";"";"";"40 937"
"SI";"Karantanija Cinemas";"23/10/2014";"52 946";"1 639";"";"";"24";"";"";"24";"54 609"
"SK";"Intersonic SK";"06/11/2014";"16 782";"2 193";"";"";"";"";"";"";"18 975"
"TR";"UIP (TR)";"31/10/2014";"327 878";"736";"";"";"";"";"";"";"328 614"
"EUR EU";"";"";"1 881 024";"1 287 845";"38 118";"21 131";"9 443";"5 383";"9 041";"23 867";"3 251 985"
"EUR OBS";"";"";"2 663 943";"1 319 860";"38 967";"21 131";"10 727";"5 383";"9 041";"25 151";"4 069 052"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014"
" - film_id : 46847"
