"Market";"Distributor";"Release date";"2009";"2010";"2013";"Total since 2009"
"AT";"Warner Bros. (AT)";"12/02/2009";"127 283";"";"";"127 283"
"BE";"Paradiso Filmed Entertainment";"22/04/2009";"124 591";"";"";"124 591"
"BG";"";"";"17 693";"";"";"17 693"
"CH";"Warner Bros. (CH)";"12/02/2009";"72 322";"";"";"72 322"
"CZ";"Warner Bros. (CZ)";"19/03/2009";"31 590";"";"";"31 590"
"DE";"Warner Bros. (DE)";"12/02/2009";"665 953";"";"";"665 953"
"DK";"SF Film (DK)";"06/02/2009";"68 654";"";"";"68 654"
"EE";"Forum Cinemas (EE)";"20/02/2009";"16 239";"";"";"16 239"
"ES";"Tripictures";"29/05/2009";"740 501";"298";"";"740 799"
"FI";"SF Film Finland [FS Film]";"08/05/2009";"35 100";"";"";"35 100"
"FR";"Metropolitan Filmexport";"11/02/2009";"655 528";"";"";"655 528"
"GB";"Success Entertainment";"06/02/2009";"1 742 617";"";"";"1 742 617"
"HR";"Blitz Film & Video Distribution (HR)";"05/03/2009";"41 630";"";"";"41 630"
"HU";"Intercom";"26/02/2009";"125 039";"";"";"125 039"
"IT";"01 Distribution";"20/03/2009";"449 652";"";"";"449 652"
"LT";"";"20/02/2009";"29 566";"";"";"29 566"
"LV";"Forum Cinemas (LV)";"";"21 408";"";"";"21 408"
"NL";"Paradiso Entertainment (NL)";"16/04/2009";"171 926";"";"";"171 926"
"NO";"SF Norway";"27/02/2009";"44 373";"";"";"44 373"
"PL";"Warner (PL)";"20/02/2009";"104 800";"";"";"104 800"
"PT";"Prisvideo Edicoes";"02/04/2009";"127 039";"";"";"127 039"
"RO";"Intercomfilm";"06/03/2009";"38 950";"";"162";"39 112"
"SE";"SF Film (SE)";"13/03/2009";"28 846";"";"";"28 846"
"SI";"Blitz Film & Video Distribution (SI)";"11/03/2009";"22 172";"";"";"22 172"
"SK";"Continental Film (SK)";"19/02/2009";"23 259";"57";"";"23 316"
"TR";"Warner Bros. (TR)";"24/04/2009";"155 256";"";"";"155 256"
"EUR EU";"";"";"5 410 036";"355";"162";"5 410 553"
"EUR OBS";"";"";"5 681 987";"355";"162";"5 682 504"
"US_CA";"Warner Bros. (US)";"06/02/2009";"12 527 154";"";"";"12 527 154"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2013, 2010, 2009"
" - film_id : 32211"
