"Market";"Distributor";"Release date";"2009";"2010";"2011";"2012";"2014";"2018";"2014-2018";"Total since 2009"
"AT";"Warner Bros. International";"29/01/2010";"";"248 516";"";"";"";"";"";"248 516"
"BE";"20th Century Fox (BE)";"06/01/2010";"";"309 745";"";"";"";"";"";"309 745"
"BG";"Aleksandra";"01/01/2010";"";"108 192";"";"";"";"";"";"108 192"
"CH";"Warner Bros. (CH)";"19/11/2009";"5 072";"263 436";"";"221";"";"209";"209";"268 938"
"CZ";"Warner Bros. (CZ)";"14/01/2010";"";"195 588";"584";"";"";"";"";"196 172"
"DE";"Warner Bros. (DE)";"28/01/2010";"";"1 731 301";"";"";"";"";"";"1 731 301"
"DK";"Sandrew Metronome (DK)";"25/12/2009";"66 865";"135 870";"";"";"";"";"";"202 735"
"EE";"Forum Cinemas (EE)";"08/01/2010";"";"30 426";"";"";"";"";"";"30 426"
"ES";"Warner Bros. Entertainment Espana";"11/01/2010";"812";"1 614 714";"";"";"";"";"";"1 615 526"
"FI";"Sandrew Metronome Distribution";"22/01/2010";"";"139 808";"";"";"";"";"";"139 808"
"FR";"Warner Bros. (FR)";"03/02/2010";"";"2 154 578";"824";"";"";"";"";"2 155 402"
"GB";"Warner Bros. (GB)";"25/12/2009";"2 209 877";"2 391 000";"";"";"";"";"";"4 600 877"
"GR";"Village";"";"";"281 646";"";"";"";"";"";"281 646"
"HR";"Blitz Film & Video Distribution (HR)";"24/12/2009";"19 991";"";"";"";"";"";"";"19 991"
"HU";"Intercom";"07/01/2010";"";"227 192";"";"";"";"";"";"227 192"
"IT";"Warner Bros. (IT)";"25/12/2009";"1 136 659";"1 898 482";"574";"";"";"";"";"3 035 715"
"LT";"Garsų pasaulio įrašai / Warner Bros.";"01/01/2010";"";"39 586";"";"";"";"";"";"39 586"
"LV";"Warner Bros. (LV)";"25/12/2009";"14 794";"26 546";"";"";"";"";"";"41 340"
"NL";"Warner Bros. (NL)";"07/01/2010";"";"381 896";"";"39";"78";"";"78";"382 013"
"NO";"Sandrew Metronome (NO)";"26/12/2009";"64 584";"146 094";"96";"53";"";"";"";"210 827"
"PL";"Warner (PL)";"15/01/2010";"";"468 217";"";"";"";"";"";"468 217"
"PT";"Columbia TriStar Warner (PT)";"24/12/2009";"156 849";"245 859";"";"27";"";"";"";"402 735"
"RO";"Intercomfilm";"01/01/2010";"";"147 759";"";"9 168";"";"";"";"156 927"
"RU";"Caro Premier";"31/12/2009";"";"2 494 545";"";"";"";"";"";"2 494 545"
"SE";"Sandrew / Warner";"01/01/2010";"";"284 042";"";"";"";"";"";"284 042"
"SI";"Blitz Film & Video Distribution (SI)";"31/12/2009";"900";"39 659";"37";"";"";"";"";"40 596"
"SK";"Continental Film (SK)";"31/12/2009";"1 699";"66 284";"";"";"";"";"";"67 983"
"TR";"Warner Bros. (TR)";"15/01/2010";"";"269 864";"";"";"";"";"";"269 864"
"EUR EU";"";"";"3 608 446";"13 166 906";"2 019";"9 234";"78";"";"78";"16 786 683"
"EUR OBS";"";"";"3 678 102";"16 340 845";"2 115";"9 508";"78";"209";"287";"20 030 857"
"US_CA";"Warner Bros. (US)";"25/12/2009";"18 495 392";"13 552 056";"";"";"";"";"";"32 047 448"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2014, 2012, 2011, 2010, 2009"
" - film_id : 30951"
