"Market";"Distributor";"Release date";"2015";"2016";"2017";"2018";"2019";"2020";"2019-2020";"Total since 2015"
"AT";"Constantin (AT)";"09/10/2015";"220 593";"2 633";"";"";"";"";"";"223 226"
"BE";"Kinepolis Film Distribution (BE)";"13/01/2016";"";"8 107";"";"42";"";"";"";"8 149"
"CH";"Pathé Films (CH)";"08/10/2015";"25 108";"277";"";"";"";"";"";"25 385"
"CZ";"CinemArt (CZ)";"10/03/2016";"";"17 029";"210";"213";"128";"52";"180";"17 632"
"DE";"Constantin Film (DE)";"08/10/2015";"2 395 162";"86 530";"2 891";"240";"367";"46";"413";"2 485 236"
"HU";"Pannónia Szórakoztató";"03/10/2016";"";"2 005";"60";"";"";"";"";"2 065"
"IT";"Nexo Digital";"26/04/2016";"";"36 587";"83";"";"";"";"";"36 670"
"NL";"Dutch Film Works (Source Investments)";"26/11/2015";"96 424";"36 398";"190";"200";"";"87";"87";"133 299"
"SK";"CinemaArt (SK)";"10/03/2016";"";"9 113";"323";"50";"384";"100";"484";"9 970"
"EUR EU";"";"";"2 712 179";"198 402";"3 757";"745";"879";"285";"1 164";"2 916 247"
"EUR OBS";"";"";"2 737 287";"198 679";"3 757";"745";"879";"285";"1 164";"2 941 632"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015"
" - film_id : 64760"
