"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2014";"2010-2014";"Total since 2006"
"BE";"Belga Films (BE)";"25/10/2006";"50 191";"";"";"";"";"";"";"";"";"50 191"
"CZ";"Bioscop/Magic Box";"19/10/2006";"5 481";"4 210";"";"";"";"";"";"";"";"9 691"
"DK";"Angel Films";"13/10/2006";"10 991";"";"";"";"";"";"";"";"";"10 991"
"EE";"Forum Cinemas (EE)";"13/10/2006";"949";"";"";"";"";"";"";"";"";"949"
"ES";"Tripictures";"30/11/2006";"";"110 285";"";"";"";"";"";"";"";"110 285"
"FI";"Scanbox Finland";"13/10/2006";"5 589";"818";"";"291";"540";"20";"194";"";"754";"7 452"
"FR";"Metropolitan Filmexport";"25/10/2006";"304 092";"";"";"";"";"";"";"";"";"304 092"
"GB";"Entertainment (GB)";"21/07/2006";"1 393 632";"";"";"";"";"";"";"2";"2";"1 393 634"
"GR";"Odeon (GR)";"12/10/2006";"7 283";"";"";"";"";"";"";"";"";"7 283"
"IS";"";"26/07/2006";"1 947";"";"";"";"";"";"";"";"";"1 947"
"IT";"Medusa Film";"08/09/2006";"70 005";"";"";"";"";"";"";"";"";"70 005"
"LU";"Belga Film (LU)";"25/10/2006";"1 565";"";"";"";"";"";"";"";"";"1 565"
"LV";"Acme (LV)";"01/09/2006";"1 596";"";"";"";"";"";"";"";"";"1 596"
"NL";"Independent Films (NL)";"12/10/2006";"19 859";"";"";"";"";"";"";"";"";"19 859"
"NO";"Scanbox (NO)";"13/10/2006";"21 233";"1 153";"";"";"";"";"";"";"";"22 386"
"PL";"Vision";"10/11/2006";"31 241";"1 501";"";"";"";"";"";"";"";"32 742"
"PT";"ZON Lusomundo Audiovisuais";"19/10/2006";"16 179";"20";"";"";"";"";"";"";"";"16 199"
"RO";"Media Pro Pictures";"";"2 674";"";"";"";"";"";"";"";"";"2 674"
"SE";"Scanbox Entertainment (SE)";"13/10/2006";"15 627";"293";"";"";"";"";"";"";"";"15 920"
"SI";"Cinemania Group";"04/01/2007";"";"1 923";"4";"";"";"";"";"";"";"1 927"
"SK";"Magic Box Slovakia";"16/11/2006";"503";"135";"";"";"";"";"";"";"";"638"
"EUR EU";"";"";"1 937 457";"119 185";"4";"291";"540";"20";"194";"2";"756";"2 057 693"
"EUR OBS";"";"";"1 960 637";"120 338";"4";"291";"540";"20";"194";"2";"756";"2 082 026"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2014, 2012, 2011, 2010, 2009, 2008, 2007, 2006"
" - film_id : 25679"
