"Market";"Distributor";"Release date";"2007";"2008";"2009";"Total since 2007"
"AT";"Constantin Film (AT)";"14/08/2007";"72 724";"";"";"72 724"
"BE";"20th Century Fox (BE)";"08/08/2007";"171 184";"";"";"171 184"
"CH";"20th Century Fox (CH)";"15/06/2007";"52 927";"";"";"52 927"
"CZ";"Bontonfilm";"05/07/2007";"32 418";"196";"64";"32 678"
"DE";"Constantin Film (DE)";"14/08/2007";"405 959";"";"";"405 959"
"DK";"SF Film (DK)";"15/06/2007";"70 901";"";"";"70 901"
"EE";"";"16/06/2007";"8 540";"";"";"8 540"
"ES";"Hispano Foxfilms";"05/07/2007";"1 316 179";"159";"";"1 316 338"
"FI";"SF Film Finland [FS Film]";"10/08/2007";"25 036";"";"";"25 036"
"FR";"20th Century Fox (FR)";"08/08/2007";"1 670 117";"";"";"1 670 117"
"GB";"20th Century Fox (GB)";"15/06/2007";"2 437 943";"13 324";"";"2 451 267"
"HU";"Intercom";"19/07/2007";"58 280";"";"";"58 280"
"IS";"";"";"12 037";"";"";"12 037"
"IT";"20th Century Fox (IT)";"15/06/2007";"1 191 073";"30";"";"1 191 103"
"LV";"";"";"13 400";"";"";"13 400"
"NL";"20th Century Fox (NL)";"26/07/2007";"83 198";"";"";"83 198"
"NO";"Fox Films";"10/08/2007";"54 359";"";"";"54 359"
"PL";"Imperial Cinepix";"15/06/2007";"42 104";"";"";"42 104"
"PT";"Castello Lopes Multimédia";"14/06/2007";"122 938";"";"";"122 938"
"RO";"Intercomfilm";"15/06/2007";"21 788";"96";"459";"22 343"
"SE";"20th Century Fox (SE)";"17/08/2007";"48 067";"";"";"48 067"
"SI";"Continental Film (SI)";"05/07/2007";"9 970";"";"";"9 970"
"SK";"Tatra Film";"05/07/2007";"15 611";"";"";"15 611"
"TR";"Ozen Film";"17/08/2007";"92 853";"12";"";"92 865"
"EUR EU";"";"";"7 817 430";"13 805";"523";"7 831 758"
"EUR OBS";"";"";"8 029 606";"13 817";"523";"8 043 946"
"US_CA";"20th Century Fox (US)";"15/06/2007";"19 174 671";"";"";"19 174 671"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2009, 2008, 2007"
" - film_id : 27899"
