"Market";"Distributor";"Release date";"2006";"2007";"Total since 2006"
"AT";"Sony Pictures (AT)";"29/09/2006";"146 186";"";"146 186"
"BE";"Sony Pictures Releasing (BE)";"27/09/2006";"158 212";"";"158 212"
"CH";"Walt Disney (CH)";"28/09/2006";"95 951";"86";"96 037"
"CZ";"Falcon";"21/09/2006";"55 230";"1 132";"56 362"
"DE";"Sony Pictures Releasing (DE)";"28/09/2006";"954 521";"";"954 521"
"DK";"Nordisk, Constantin, Fox";"22/09/2006";"50 854";"86";"50 940"
"EE";"Forum Cinemas (EE)";"08/11/2006";"18 082";"";"18 082"
"ES";"Sony Pictures Releasing De Espana";"31/08/2006";"793 527";"42";"793 569"
"FI";"Nordisk Film Theatrical Dist.";"29/09/2006";"36 014";"39";"36 053"
"FR";"Gaumont Columbia TriStar";"04/10/2006";"204 608";"";"204 608"
"GB";"Sony Pictures (GB)";"29/09/2006";"1 623 219";"2 509";"1 625 728"
"HU";"Intercom";"31/08/2006";"173 182";"";"173 182"
"IS";"Sena";"30/06/2006";"22 443";"";"22 443"
"IT";"Sony Pictures (IT)";"29/09/2006";"402 664";"301";"402 965"
"LT";"Acme (LT)";"25/08/2006";"32 598";"";"32 598"
"LU";"";"22/09/2006";"7 900";"";"7 900"
"LV";"Forum Cinemas (LV)";"18/08/2006";"29 495";"";"29 495"
"NL";"Sony Pictures Releasing (NL)";"19/10/2006";"96 900";"";"96 900"
"NO";"Nordisk Filmdistribusjon";"01/09/2006";"76 187";"";"76 187"
"PL";"UIP (PL)";"01/09/2006";"116 304";"";"116 304"
"PT";"Columbia TriStar Warner (PT)";"05/10/2006";"148 358";"55";"148 413"
"RO";"Intercomfilm";"11/08/2006";"37 994";"";"37 994"
"SE";"Sony Pictures Releasing (SE)";"08/09/2006";"184 090";"10";"184 100"
"SI";"Continental Film (SI)";"21/09/2006";"15 412";"46";"15 458"
"SK";"Itafilm";"21/09/2006";"19 117";"93";"19 210"
"TR";"Warner Bros. (TR)";"22/09/2006";"225 352";"316";"225 668"
"EUR EU";"";"";"5 304 467";"4 313";"5 308 780"
"EUR OBS";"";"";"5 724 400";"4 715";"5 729 115"
"US_CA";"";"";"20 970 325";"";"20 970 325"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2007, 2006"
" - film_id : 25699"
