"Market";"Distributor";"Release date";"2001";"2002";"2003";"2004";"2017";"2019";"2020";"2017-2020";"Total since 2001"
"BE";"";"";"";"57 500";"";"";"";"";"";"";"57 500"
"CZ";"Hollywood";"13/12/2001";"8 404";"";"15";"";"";"";"";"";"8 419"
"DE";"Ottfilm";"03/01/2002";"";"248 677";"";"";"";"";"";"";"248 677"
"DK";"";"";"";"2 090";"";"";"";"";"";"";"2 090"
"ES";"Tripictures";"08/11/2001";"527 678";"6 075";"650";"";"51";"62";"";"113";"534 516"
"FR";"";"";"";"142 324";"1 035";"153";"";"";"";"";"143 512"
"GB";"Lionsgate (GB)";"19/10/2001";"1 452 521";"";"";"";"154";"";"";"154";"1 452 675"
"HU";"";"";"";"6 006";"";"";"";"";"";"";"6 006"
"IS";"";"";"2 815";"";"";"";"";"";"";"";"2 815"
"IT";"Buena Vista (IT)";"23/08/2002";"";"356 082";"";"";"";"";"5";"5";"356 087"
"NL";"";"";"";"98 620";"";"";"";"";"";"";"98 620"
"PL";"Vision";"26/07/2002";"";"28 127";"";"";"";"";"";"";"28 127"
"RO";"";"";"";"4 339";"";"";"";"";"";"";"4 339"
"SE";"Triangelfilm/Scanbox";"28/06/2002";"";"19 071";"";"";"";"";"";"";"19 071"
"SK";"Continental Film (SK)";"11/04/2002";"";"8 321";"";"";"";"";"";"";"8 321"
"TR";"";"";"";"22 706";"";"";"";"";"";"";"22 706"
"EUR EU";"";"";"1 988 603";"977 232";"1 700";"153";"205";"62";"5";"272";"2 967 960"
"EUR OBS";"";"";"1 991 418";"999 938";"1 700";"153";"205";"62";"5";"272";"2 993 481"
"US_CA";"";"";"7 032 314";"";"";"";"";"";"";"";"7 032 314"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2017, 2004, 2003, 2002, 2001"
" - film_id : 17328"
