"Market";"Distributor";"Release date";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2017-2020";"Total since 2013"
"AT";"Constantin Film (AT)";"07/11/2013";"354 675";"48 792";"";"";"";"";"";"";"";"403 467"
"CH";"Pathé Films (CH)";"07/11/2013";"166 368";"55 300";"36";"";"";"";"";"";"";"221 704"
"CZ";"CinemArt (CZ)";"28/08/2014";"";"127 066";"4 664";"692";"512";"70";"75";"31";"688";"133 110"
"DE";"Constantin Film (DE)";"07/11/2013";"5 622 273";"1 712 275";"61 345";"2 453";"14 153";"260";"234";"326";"14 973";"7 413 319"
"FR";"Océan Films";"12/11/2014";"";"59 868";"";"";"";"";"";"";"";"59 868"
"HR";"2iFilm (HR)";"20/08/2015";"";"";"1 437";"";"";"";"";"";"";"1 437"
"HU";"Big Bang Media";"23/10/2014";"";"30 138";"1 347";"234";"";"";"";"";"";"31 719"
"IT";"Medusa Film";"15/10/2015";"";"";"62 326";"51";"";"";"";"";"";"62 377"
"MK";"German Embassy (MK)";"";"";"191";"";"";"";"";"";"";"";"191"
"PL";"Vivarto";"04/09/2015";"";"";"2 543";"747";"";"";"";"";"";"3 290"
"RU";"Raketa Releasing";"04/12/2014";"";"9 626";"";"";"";"33";"";"";"33";"9 659"
"SI";"2iFilm (SI)";"15/10/2015";"";"";"652";"";"";"";"";"";"";"652"
"SK";"CinemaArt (SK)";"28/08/2014";"";"29 514";"90";"30";"60";"";"";"63";"123";"29 757"
"EUR EU";"";"";"5 976 948";"2 007 653";"134 404";"4 207";"14 725";"330";"309";"420";"15 784";"8 138 996"
"EUR OBS";"";"";"6 143 316";"2 072 770";"134 440";"4 207";"14 725";"363";"309";"420";"15 817";"8 370 550"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013"
" - film_id : 44673"
