"Market";"Distributor";"Release date";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2009";"2014";"2005-2014";"Total since 2001"
"AT";"";"";"68 759";"413";"131";"";"";"";"";"";"";"";"69 303"
"BE";"";"";"40 773";"7 350";"";"";"";"";"";"";"";"";"48 123"
"CH";"Elite Film";"17/05/2001";"58 352";"1 613";"";"";"";"";"";"4";"";"4";"59 969"
"CY";"";"";"";"1 708";"";"";"";"";"";"";"";"";"1 708"
"CZ";"SPI";"03/04/2003";"";"";"3 376";"78";"";"";"7";"40";"";"47";"3 501"
"DE";"Senator Film Verleih";"08/03/2001";"1 616 426";"18 181";"";"";"";"";"";"";"";"";"1 634 607"
"DK";"";"";"";"";"249";"";"";"";"";"";"";"";"249"
"EE";"BDG Film";"14/06/2002";"";"5 203";"134";"";"";"";"";"";"";"";"5 337"
"ES";"Sherlock Media";"18/01/2002";"";"31 860";"252";"49";"1 770";"";"1 485";"";"781";"4 036";"36 197"
"FI";"Future Film (FI)";"19/04/2002";"";"778";"";"";"";"";"";"";"";"";"778"
"FR";"Metropolitan Filmexport";"21/05/2003";"";"";"76 176";"117";"";"225";"";"";"";"225";"76 518"
"GB";"Metrodome";"22/03/2002";"";"12 649";"";"";"";"";"";"";"";"";"12 649"
"GR";"Prooptiki (GR)";"09/11/2001";"36 595";"6 461";"349";"114";"87";"";"";"";"";"87";"43 606"
"HU";"Best Hollywood";"10/10/2002";"";"16 934";"2 524";"";"";"24";"";"";"";"24";"19 482"
"IS";"";"";"";"776";"";"";"";"";"";"";"";"";"776"
"IT";"";"";"";"308 039";"";"";"";"";"";"";"";"";"308 039"
"LT";"";"";"";"9 025";"";"";"";"";"";"";"";"";"9 025"
"NL";"Independent Films (NL)";"06/06/2002";"";"27 199";"";"";"";"";"61";"61";"";"122";"27 321"
"NO";"";"";"";"3 547";"39";"";"";"";"";"";"";"";"3 586"
"PL";"Vision";"17/01/2003";"";"";"24 859";"707";"";"";"";"";"";"";"25 566"
"SI";"A.G. Market";"12/12/2002";"";"";"12 182";"394";"";"145";"";"";"";"145";"12 721"
"SK";"SPI SK";"12/06/2003";"";"";"5 324";"122";"";"";"";"";"";"";"5 446"
"TR";"";"";"";"28 754";"";"";"";"";"";"";"";"";"28 754"
"EUR EU";"";"";"1 762 553";"445 800";"125 556";"1 581";"1 857";"394";"1 553";"101";"781";"4 686";"2 340 176"
"EUR OBS";"";"";"1 820 905";"480 490";"125 595";"1 581";"1 857";"394";"1 553";"105";"781";"4 690";"2 433 261"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2014, 2009, 2007, 2006, 2005, 2004, 2003, 2002, 2001"
" - film_id : 17888"
