"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2018-2020";"Total since 2014"
"AT";"Filmladen";"21/11/2014";"21 615";"4 883";"96";"";"";"";"";"";"26 594"
"BE";"Entertainment One (BE)";"10/12/2014";"";"";"133";"";"";"";"";"";"133"
"CH";"Pathé Films (CH)";"06/11/2014";"36 993";"9 155";"";"";"";"337";"";"337";"46 485"
"CZ";"Falcon";"";"";"856";"";"";"";"";"";"";"856"
"DE";"Prokino Filmverleih";"06/11/2014";"179 650";"57 798";"692";"144";"327";"589";"1 024";"1 940";"240 224"
"DK";"SF Film (DK)";"01/01/2015";"";"25 818";"";"";"";"";"";"";"25 818"
"ES";"Wanda Vision";"09/12/2014";"43 208";"48 487";"";"36";"";"";"";"";"91 731"
"FI";"SF Film Finland [FS Film]";"19/12/2014";"6 366";"12 111";"";"";"";"";"";"";"18 477"
"FR";"Diaphana Distribution";"03/12/2014";"247 399";"148 482";"1 499";"";"";"";"";"";"397 380"
"GB";"Entertainment One Films (GB)";"31/10/2014";"957 054";"45 727";"401";"19";"";"";"";"";"1 003 201"
"GR";"Odeon (GR)";"08/01/2015";"";"20 590";"";"";"";"";"";"";"20 590"
"IS";"Sena";"02/02/2015";"";"1 088";"";"";"";"";"";"";"1 088"
"IT";"Bim Distribuzione";"29/01/2015";"";"230 806";"319";"35";"33";"";"15";"48";"231 208"
"ME";"";"";"27";"";"";"";"";"";"";"";"27"
"MK";"Continental Film (MK)";"";"41";"";"";"";"";"";"";"";"41"
"NL";"Entertainment One Benelux";"11/12/2014";"43 968";"";"725";"";"39";"";"";"39";"44 732"
"NO";"SF Norway";"09/01/2015";"";"15 335";"";"";"";"";"";"";"15 335"
"PL";"UIP (PL)";"14/08/2015";"";"10 390";"1 144";"";"";"";"";"";"11 534"
"PT";"NOS Lusomundo Audiovisuais (PT)";"25/12/2014";"5 180";"7 997";"";"47";"";"";"";"";"13 224"
"SE";"SF Film (SE)";"25/12/2014";"5 107";"20 705";"16";"";"";"";"";"";"25 828"
"SI";"Continental Film (SI)";"01/01/2015";"";"3 676";"";"";"";"";"";"";"3 676"
"TR";"M3 Film";"30/01/2015";"";"1 876";"285";"";"";"";"";"";"2 161"
"EUR EU";"";"";"1 509 547";"638 326";"5 025";"281";"399";"589";"1 039";"2 027";"2 155 206"
"EUR OBS";"";"";"1 546 608";"665 780";"5 310";"281";"399";"926";"1 039";"2 364";"2 220 343"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014"
" - film_id : 46904"
