"Market";"Distributor";"Release date";"2002";"2003";"2004";"2005";"2006";"2013";"2016";"2017";"2006-2017";"Total since 2002"
"AT";"";"";"";"333 748";"";"";"";"";"";"";"";"333 748"
"BE";"";"";"";"357 741";"";"";"";"";"";"";"";"357 741"
"BG";"Sunny";"07/03/2003";"";"29 006";"29 008";"";"";"";"";"";"";"58 014"
"CH";"Universal Pictures (CH)";"16/01/2003";"";"284 942";"";"";"";"";"";"8";"8";"284 950"
"CY";"";"";"";"21 808";"";"";"";"";"";"";"";"21 808"
"CZ";"Bontonfilm";"20/03/2003";"";"111 642";"226";"157";"";"";"";"";"";"112 025"
"DE";"UIP (DE)";"02/01/2003";"";"2 747 013";"";"";"";"";"";"";"";"2 747 013"
"DK";"UIP (DK)";"17/01/2003";"2 480";"248 230";"";"35";"42";"";"";"";"42";"250 787"
"EE";"MPDE";"24/01/2003";"";"15 381";"";"";"";"";"";"";"";"15 381"
"ES";"";"";"154";"1 605 716";"";"";"";"";"";"";"";"1 605 870"
"FI";"";"";"";"104 602";"17";"";"";"";"";"";"";"104 619"
"FR";"Paramount Pictures (FR)";"26/02/2003";"";"2 202 260";"2 301";"";"277";"";"";"";"277";"2 204 838"
"GB";"UIP (GB)";"17/01/2003";"";"2 740 167";"";"";"";"";"12";"";"12";"2 740 179"
"HU";"";"";"";"169 526";"";"";"";"";"";"";"";"169 526"
"IS";"";"";"";"15 447";"";"";"";"";"";"";"";"15 447"
"IT";"UIP (IT)";"14/03/2003";"";"1 167 606";"";"";"";"32";"";"";"32";"1 167 638"
"LT";"";"";"";"37 853";"";"";"";"";"";"";"";"37 853"
"LU";"";"";"";"12 600";"";"";"";"";"";"";"";"12 600"
"NL";"Universal Pictures Int (NL)";"16/01/2003";"";"383 520";"";"";"";"";"34";"";"34";"383 554"
"NO";"UIP (NO)";"24/01/2003";"";"199 590";"";"";"136";"";"";"";"136";"199 726"
"PL";"";"";"";"345 242";"";"";"";"";"";"";"";"345 242"
"RO";"";"";"";"83 483";"1 249";"";"";"";"";"";"";"84 732"
"SE";"";"";"";"282 414";"";"";"";"";"";"";"";"282 414"
"SK";"Tatra Film";"20/03/2003";"";"37 727";"";"";"";"";"";"";"";"37 727"
"TR";"";"";"";"267 617";"";"";"";"";"";"";"";"267 617"
"EUR EU";"";"";"2 634";"13 037 285";"32 801";"192";"319";"32";"46";"";"397";"13 073 309"
"EUR OBS";"";"";"2 634";"13 804 881";"32 801";"192";"455";"32";"46";"8";"541";"13 841 049"
"US_CA";"";"";"19 812 506";"242 546";"";"";"";"";"";"";"";"20 055 052"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2017, 2016, 2013, 2006, 2005, 2004, 2003, 2002"
" - film_id : 19401"
