"Market";"Distributor";"Release date";"2009";"2010";"2014";"2016";"Total since 2009"
"AT";"Warner Bros. (AT)";"08/10/2009";"188 003";"";"";"";"188 003"
"CH";"Warner Bros. (CH)";"08/10/2009";"108 895";"1 213";"";"";"110 108"
"DE";"Warner Bros. (DE)";"08/10/2009";"2 094 192";"25 932";"279";"414";"2 120 817"
"RU";"CR";"21/10/2010";"";"129";"";"";"129"
"EUR EU";"";"";"2 282 195";"25 932";"279";"414";"2 308 820"
"EUR OBS";"";"";"2 391 090";"27 274";"279";"414";"2 419 057"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2014, 2010, 2009"
" - film_id : 33438"
