"Market";"Distributor";"Release date";"2015";"2016";"2017";"2018";"2019";"2020";"2019-2020";"Total since 2015"
"AT";"Universal Pictures (AT)";"07/01/2016";"";"25 740";"";"";"";"";"";"25 740"
"BA";"Una Film";"";"";"1 746";"";"";"";"";"";"1 746"
"BE";"Sony Pictures Universal (BE)";"20/01/2016";"";"45 239";"";"";"";"";"";"45 239"
"BG";"Forum Film (BG)";"29/01/2016";"";"10 468";"";"";"";"";"";"10 468"
"CH";"Universal Pictures (CH)";"07/01/2016";"";"81 772";"91";"50";"";"12";"12";"81 925"
"CY";"Universal (CY)";"";"";"3 062";"";"";"";"";"";"3 062"
"CZ";"CinemArt (CZ)";"04/02/2016";"";"61 240";"955";"162";"95";"614";"709";"63 066"
"DE";"UIP (DE)";"07/01/2016";"";"405 242";"4 121";"";"";"";"";"409 363"
"DK";"UIP (DK)";"04/02/2016";"";"182 776";"";"";"";"";"";"182 776"
"EE";"VaataFilmi/Forum Distribution (EE)";"";"";"13 528";"";"";"";"";"";"13 528"
"ES";"Universal Pictures Int'l Spain";"09/01/2016";"3";"854 320";"228";"147";"";"";"";"854 698"
"FI";"Finnkino";"05/02/2016";"";"39 562";"";"";"";"";"";"39 562"
"FR";"Universal Pictures Intl France (FR)";"20/01/2016";"";"246 334";"";"";"";"335";"335";"246 669"
"GB";"Universal Pictures (GB)";"01/01/2016";"";"1 033 198";"62";"";"";"";"";"1 033 260"
"GE";"Interfilm International (GE)";"";"";"2 195";"";"";"";"";"";"2 195"
"GR";"UIP (GR)";"";"";"71 126";"";"";"";"";"";"71 126"
"HR";"Blitz Film & Video Distribution (HR)";"21/01/2016";"";"9 751";"";"";"";"";"";"9 751"
"HU";"UIP-Dunafilm";"28/01/2016";"";"33 767";"82";"";"";"";"";"33 849"
"IS";"Myndform";"29/02/2016";"";"856";"";"";"";"";"";"856"
"IT";"Universal (IT)";"18/02/2016";"";"647 347";"61";"21";"18";"";"18";"647 447"
"LT";"Forum Cinemas / Universal";"05/02/2016";"";"7 709";"";"";"";"";"";"7 709"
"LV";"Forum Cinemas (LV)";"02/05/2016";"";"7 339";"";"";"";"";"";"7 339"
"NL";"Universal Pictures Int (NL)";"14/01/2016";"";"101 741";"754";"33";"67";"";"67";"102 595"
"NO";"UIP (NO)";"05/02/2016";"";"20 329";"";"";"";"";"";"20 329"
"PL";"UIP (PL)";"22/01/2016";"";"56 194";"";"";"";"";"";"56 194"
"PT";"NOS Lusomundo Audiovisuais (PT)";"31/12/2015";"973";"105 058";"71";"";"";"";"";"106 102"
"RO";"Ro-Image 2000";"08/01/2016";"";"18 782";"";"";"";"";"";"18 782"
"RU";"Universal Pictures Int'l - UPI (RU)";"28/01/2016";"";"67 171";"";"";"";"";"";"67 171"
"SE";"Universal/UIP (SE)";"05/02/2016";"";"215 256";"";"";"";"";"";"215 256"
"SI";"Karantanija Cinemas";"07/01/2016";"";"7 920";"";"";"";"";"";"7 920"
"SK";"CinemaArt (SK)";"04/02/2016";"";"22 428";"90";"";"";"";"";"22 518"
"TR";"UIP (TR)";"12/02/2016";"";"29 811";"";"";"";"";"";"29 811"
"EUR EU";"";"";"976";"4 225 127";"6 424";"363";"180";"949";"1 129";"4 234 019"
"EUR OBS";"";"";"976";"4 429 007";"6 515";"413";"180";"961";"1 141";"4 438 052"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015"
" - film_id : 65492"
