"Market";"Distributor";"Release date";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2012-2020";"Total since 2008"
"AT";"Senator Film / Thimfilm";"27/02/2009";"";"137 603";"";"";"";"";"";"";"";"";"";"";"";"";"137 603"
"BE";"Benelux Film Distributors - Lumiere (BE)";"25/02/2009";"";"96 774";"";"";"";"";"";"";"";"";"";"";"";"";"96 774"
"BG";"";"";"";"";"43";"";"";"";"";"";"";"";"";"";"";"";"43"
"CH";"Elite Film";"20/02/2009";"";"153 708";"86";"106";"10";"";"17";"";"";"";"";"124";"";"151";"154 051"
"CZ";"A-Company Czech";"23/04/2009";"";"48 296";"2 979";"";"";"97";"";"78";"";"";"";"";"";"175";"51 450"
"DE";"Senator Film Verleih";"26/02/2009";"";"2 187 327";"18 485";"";"";"";"1 461";"445";"178";"108";"158";"406";"339";"3 095";"2 208 907"
"DK";"Sandrew Metronome (DK)";"10/04/2009";"";"32 254";"256";"";"";"";"";"";"";"";"";"";"";"";"32 510"
"ES";"Zeta Audiovisual";"12/02/2009";"";"793 100";"62";"";"";"";"";"";"";"";"";"";"";"";"793 162"
"FI";"Sandrew Metronome Distribution";"27/03/2009";"";"29 933";"89";"";"";"";"";"";"";"";"";"";"";"";"30 022"
"FR";"SND Films";"15/07/2009";"";"730 069";"";"";"";"";"";"";"";"";"";"";"";"";"730 069"
"GB";"Entertainment (GB)";"02/01/2009";"";"1 065 536";"";"";"";"";"";"14";"";"";"";"";"";"14";"1 065 550"
"HR";"Discovery (HR)";"09/04/2009";"";"12 954";"";"";"";"";"";"";"";"";"";"";"";"";"12 954"
"HU";"Budapestfilm";"23/04/2009";"";"35 904";"";"";"";"";"";"90";"";"";"";"";"";"90";"35 994"
"IT";"01 Distribution";"20/02/2009";"";"443 258";"879";"";"";"";"";"";"";"";"";"";"";"";"444 137"
"NL";"Benelux Film Distribution";"02/04/2009";"";"216 168";"5 188";"136";"";"";"27";"";"";"";"";"";"";"27";"221 519"
"NO";"Sandrew Metronome (NO)";"06/03/2009";"";"34 241";"";"";"";"";"";"";"";"";"";"";"";"";"34 241"
"PL";"Kino Swiat";"13/03/2009";"";"184 410";"1 052";"";"";"";"";"";"";"";"";"";"";"";"185 462"
"PT";"NOS Lusomundo Audiovisuais (PT)";"12/02/2009";"";"89 890";"37";"18";"";"";"54";"";"";"";"";"";"";"54";"89 999"
"RO";"Ro-Image 2000";"20/03/2009";"";"9 805";"186";"";"";"";"";"";"";"";"";"";"";"";"9 991"
"SE";"Sandrew Metronome";"24/04/2009";"";"60 697";"81";"";"";"";"";"";"";"";"";"";"";"";"60 778"
"SI";"Cinemania Group";"12/03/2009";"";"13 751";"452";"";"";"";"";"";"";"";"";"";"";"";"14 203"
"SK";"Palace Pictures (SK)";"02/07/2009";"";"13 214";"";"";"";"";"";"";"";"";"";"";"";"";"13 214"
"TR";"Tiglon";"10/04/2009";"";"55 788";"";"";"";"262";"";"";"";"";"";"";"";"262";"56 050"
"EUR EU";"";"";"";"6 200 943";"29 789";"154";"";"97";"1 542";"627";"178";"108";"158";"406";"339";"3 455";"6 234 341"
"EUR OBS";"";"";"";"6 444 680";"29 875";"260";"10";"359";"1 559";"627";"178";"108";"158";"530";"339";"3 868";"6 478 683"
"US_CA";"The Weinstein Company";"10/12/2008";"272 299";"4 298 573";"";"";"";"";"";"";"";"";"";"";"";"";"4 570 872"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008"
" - film_id : 30481"
