"Market";"Distributor";"Release date";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2016-2018";"Total since 2012"
"AT";"Constantin Film (AT)";"01/11/2012";"53 328";"1 170";"";"";"";"";"";"";"54 498"
"BG";"Pro Films (BG)";"06/12/2013";"";"10 540";"4 522";"54";"";"";"";"";"15 116"
"CZ";"Intersonic (CZ)";"12/12/2013";"";"13 505";"12 506";"";"";"";"";"";"26 011"
"DE";"Universum Film";"01/11/2012";"407 101";"7 542";"2 894";"1 199";"844";"80";"119";"1 043";"419 779"
"DK";"Nordisk Film Distribution (DK)";"01/11/2012";"57 332";"8 193";"108";"";"";"";"";"";"65 633"
"EE";"SmartWay System (EE)";"28/12/2012";"3 625";"8 613";"";"";"";"";"";"";"12 238"
"ES";"Flins y piniculas";"12/11/2014";"";"";"30 263";"4 637";"212";"";"";"212";"35 112"
"FI";"Nordisk Film Theatrical Dist.";"12/10/2012";"150 899";"4 087";"59";"";"";"";"";"";"155 045"
"FR";"Bac Films";"28/11/2012";"609 153";"186 855";"1 227";"";"";"";"";"";"797 235"
"HR";"MG Film";"21/11/2013";"";"35 934";"8 950";"";"";"";"";"";"44 884"
"HU";"Forum-Hungary";"19/12/2013";"";"9 357";"6 791";"1";"";"";"";"";"16 149"
"LV";"Best Film";"21/12/2012";"2 480";"";"";"";"115";"";"";"115";"2 595"
"ME";"";"";"";"1 308";"128";"";"";"";"";"";"1 436"
"MK";"Premium Film (MK)";"";"";"";"298";"";"";"";"";"";"298"
"NL";"Just Film Distribution";"06/12/2012";"35 552";"9 515";"123";"";"";"";"";"";"45 190"
"PL";"Kino Swiat";"23/11/2012";"426 298";"33 110";"1 069";"1 387";"";"";"";"";"461 864"
"PT";"NOS Lusomundo Audiovisuais (PT)";"02/12/2013";"";"6 561";"145";"116";"6";"";"";"6";"6 828"
"RU";"Paradise";"13/12/2012";"136 945";"870";"";"";"";"";"";"";"137 815"
"SI";"Karantanija Cinemas";"21/11/2013";"";"42 152";"6 798";"76";"83";"";"";"83";"49 109"
"SK";"Intersonic SK";"09/01/2014";"";"";"16 416";"368";"";"";"";"";"16 784"
"TR";"Tiglon";"29/11/2013";"";"62 959";"26 470";"";"";"";"";"";"89 429"
"EUR EU";"";"";"1 745 768";"377 134";"91 871";"7 838";"1 260";"80";"119";"1 459";"2 224 070"
"EUR OBS";"";"";"1 882 713";"442 271";"118 767";"7 838";"1 260";"80";"119";"1 459";"2 453 048"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2017, 2016, 2015, 2014, 2013, 2012"
" - film_id : 40185"
