"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2020";"2010-2020";"Total since 2006"
"AT";"Polyfilm";"02/02/2007";"";"5 095";"199";"";"";"";"";"";"";"";"";"";"";"";"";"5 294"
"BE";"Cineart (BE)";"06/09/2006";"79 656";"7 692";"1 254";"";"";"";"";"";"";"";"";"";"";"";"";"88 602"
"CH";"Eigenverleih / Propre Distribution (CH)";"30/08/2006";"29 624";"842";"";"";"";"";"";"";"109";"";"";"36";"";"";"145";"30 611"
"CZ";"ACFK";"11/01/2007";"";"2 810";"138";"29";"16";"";"";"";"";"";"";"";"";"";"16";"2 993"
"DE";"Neue Visionen";"28/12/2006";"14 526";"59 318";"3 051";"";"";"";"";"";"23";"35";"8";"40";"";"";"106";"77 001"
"DK";"Ost for Paradis";"28/02/2007";"";"12 777";"933";"8";"40";"";"";"";"";"";"";"";"";"";"40";"13 758"
"ES";"Alta Classics";"29/08/2006";"256 236";"5 341";"1 739";"";"";"";"107";"";"";"";"";"";"150";"";"257";"263 573"
"FR";"Diaphana Distribution";"23/08/2006";"929 676";"";"4 337";"";"";"";"";"";"";"";"";"";"";"";"";"934 013"
"GB";"Pathé Distribution (GB)";"23/06/2006";"802 210";"";"";"";"";"";"";"";"170";"406";"517";"";"";"";"1 093";"803 303"
"GR";"Prooptiki (GR)";"09/11/2006";"34 851";"19 690";"647";"";"";"";"";"";"";"";"";"";"";"";"";"55 188"
"HR";"Blitz Film & Video Distribution (HR)";"";"";"4 030";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 030"
"IT";"Bim Distribuzione";"10/11/2006";"335 000";"90 020";"388";"";"";"";"";"";"";"";"";"";"";"47";"47";"425 455"
"LU";"Cineart (LU)";"06/09/2006";"3 872";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 872"
"NL";"A-Film (NL)";"10/08/2006";"40 629";"2 438";"176";"";"";"";"52";"46";"2";"";"";"";"";"";"100";"43 343"
"NO";"Actionfilm";"30/03/2007";"";"6 814";"11";"";"";"10";"";"";"";"";"";"";"";"";"10";"6 835"
"PL";"Best Film";"08/12/2006";"8 299";"5 451";"";"";"";"";"";"";"";"";"";"";"";"";"";"13 750"
"PT";"ZON Lusomundo Audiovisuais";"27/07/2006";"8 691";"195";"";"";"";"";"5";"";"";"";"";"";"";"";"5";"8 891"
"RO";"Prooptiki (RO)";"";"";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"3"
"SE";"Triangelfilm";"15/09/2006";"16 199";"1 238";"";"";"";"";"";"";"";"";"";"";"";"";"";"17 437"
"SI";"Blitz Film & Video Distribution (SI)";"31/05/2007";"";"2 504";"454";"";"134";"";"";"";"";"";"";"";"";"";"134";"3 092"
"SK";"ASFK";"13/09/2007";"";"723";"";"";"";"";"";"";"";"";"";"";"";"";"";"723"
"TR";"Bir Film";"20/10/2006";"11 197";"6 685";"";"";"";"";"";"";"";"";"";"";"";"";"";"17 882"
"EUR EU";"";"";"2 529 845";"219 325";"13 316";"37";"190";"";"164";"46";"195";"441";"525";"40";"150";"47";"1 798";"2 764 321"
"EUR OBS";"";"";"2 570 666";"233 666";"13 327";"37";"190";"10";"164";"46";"304";"441";"525";"76";"150";"47";"1 953";"2 819 649"
"US_CA";"IFC Films";"16/03/2007";"";"266 480";"";"";"";"";"";"";"";"";"";"";"";"";"";"266 480"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006"
" - film_id : 25608"
