"Market";"Distributor";"Release date";"2013";"2014";"2015";"2016";"2018";"2019";"2018-2019";"Total since 2013"
"AT";"Universal Pictures (AT)";"01/03/2013";"205 056";"";"";"";"";"";"";"205 056"
"BE";"UPI (BE)";"06/02/2013";"163 679";"";"";"";"";"";"";"163 679"
"BG";"Forum Film (BG)";"25/01/2013";"135 816";"";"";"";"";"";"";"135 816"
"CH";"Universal Pictures (CH)";"28/02/2013";"89 213";"21";"";"";"";"";"";"89 234"
"CZ";"CinemArt (CZ)";"28/02/2013";"102 035";"260";"327";"40";"30";"";"30";"102 692"
"DE";"Paramount (DE)";"28/02/2013";"1 345 264";"237";"";"55";"";"17";"17";"1 345 573"
"DK";"SF Film (DK)";"07/02/2013";"20 777";"";"";"";"";"";"";"20 777"
"EE";"Forum Cinemas (EE)";"01/02/2013";"7 864";"";"";"";"";"";"";"7 864"
"ES";"Paramount Spain";"01/03/2013";"611 390";"";"";"";"";"";"";"611 390"
"FI";"SF Film Finland [FS Film]";"08/02/2013";"36 337";"";"";"";"";"";"";"36 337"
"FR";"Paramount Pictures (FR)";"06/03/2013";"854 755";"";"";"";"";"";"";"854 755"
"GB";"Paramount (GB)";"01/03/2013";"546 305";"";"";"";"";"";"";"546 305"
"HR";"Paramount (HR)";"31/01/2013";"15 729";"";"";"";"";"";"";"15 729"
"HU";"UIP (HU)";"07/02/2013";"59 201";"4";"";"";"";"";"";"59 205"
"IT";"Universal (IT)";"01/05/2013";"436 000";"163";"";"";"";"130";"130";"436 293"
"LT";"Forum Cinemas / Paramount";"01/02/2013";"15 613";"";"";"";"";"";"";"15 613"
"ME";"";"";"1 036";"";"";"";"";"";"";"1 036"
"NL";"Universal Pictures Int (NL)";"28/02/2013";"83 679";"";"";"";"";"";"";"83 679"
"NO";"SF Norway";"01/02/2013";"62 785";"";"";"";"";"";"";"62 785"
"PL";"UIP (PL)";"08/02/2013";"71 043";"";"";"";"";"";"";"71 043"
"PT";"ZON Lusomundo Cinemas";"31/01/2013";"54 552";"";"";"";"";"";"";"54 552"
"RO";"Ro-Image 2000";"02/01/2013";"81 171";"64";"";"";"";"";"";"81 235"
"RU";"Central Partnership (RU)";"17/01/2013";"2 055 145";"";"";"";"";"";"";"2 055 145"
"SE";"SF Film (SE)";"27/02/2013";"42 384";"";"";"";"";"";"";"42 384"
"SI";"Karantanija Cinemas";"31/01/2013";"14 803";"";"";"";"";"";"";"14 803"
"SK";"Bontonfilm/CinemArt (SK)";"28/02/2013";"30 335";"";"";"30";"";"";"";"30 365"
"TR";"UIP (TR)";"01/02/2013";"285 957";"";"";"";"";"";"";"285 957"
"EUR EU";"";"";"4 933 788";"728";"327";"125";"30";"147";"177";"4 935 145"
"EUR OBS";"";"";"7 427 924";"749";"327";"125";"30";"147";"177";"7 429 302"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2016, 2015, 2014, 2013"
" - film_id : 43039"
