"Market";"Distributor";"Release date";"2007";"2008";"2009";"2014";"2019";"Total since 2007"
"AT";"Warner Bros. (AT)";"17/05/2007";"77 472";"";"";"";"";"77 472"
"BE";"Kinepolis Film Distribution (BE)";"09/05/2007";"209 462";"";"";"";"";"209 462"
"CH";"Warner Bros. (CH)";"09/05/2007";"87 342";"90";"";"60";"39";"87 531"
"CZ";"Warner Bros. (CZ)";"02/08/2007";"9 451";"204";"";"";"";"9 655"
"DE";"Warner Bros. (DE)";"17/05/2007";"513 055";"";"";"";"";"513 055"
"DK";"SF Film (DK)";"10/08/2007";"28 025";"";"";"";"";"28 025"
"EE";"";"07/07/2007";"6 744";"";"";"";"";"6 744"
"ES";"Tripictures";"05/10/2007";"305 913";"1 842";"996";"";"";"308 751"
"FI";"SF Film Finland [FS Film]";"31/08/2007";"11 012";"";"";"";"";"11 012"
"FR";"Metropolitan Filmexport";"09/05/2007";"1 115 625";"";"";"";"";"1 115 625"
"GB";"Success Entertainment";"20/04/2007";"662 987";"6 360";"";"";"";"669 347"
"HU";"Intercom";"16/08/2007";"120 896";"";"";"";"";"120 896"
"IS";"";"";"6 455";"";"";"";"";"6 455"
"IT";"Eagle Pictures";"02/11/2007";"380 864";"12 779";"";"";"";"393 643"
"LV";"";"";"18 134";"";"";"";"";"18 134"
"NL";"RCV Entertainment";"17/05/2007";"110 952";"";"";"";"";"110 952"
"NO";"SF Norway";"03/08/2007";"14 191";"";"";"";"";"14 191"
"PL";"Warner (PL)";"10/08/2007";"147 541";"";"";"";"";"147 541"
"PT";"ZON Lusomundo Audiovisuais";"10/05/2007";"120 773";"128";"";"";"";"120 901"
"RO";"Intercomfilm";"";"22 359";"88";"";"";"";"22 447"
"SE";"SF Film (SE)";"31/08/2007";"43 260";"33";"";"";"";"43 293"
"SI";"Ljubljanski Kinematografi";"09/07/2007";"16 105";"";"";"";"";"16 105"
"SK";"Continental Film (SK)";"09/08/2007";"7 699";"26";"";"";"";"7 725"
"TR";"35MM.";"18/05/2007";"83 574";"285";"";"";"";"83 859"
"EUR EU";"";"";"3 928 329";"21 460";"996";"";"";"3 950 785"
"EUR OBS";"";"";"4 119 891";"21 835";"996";"60";"39";"4 142 821"
"US_CA";"New Line";"20/04/2007";"5 670 787";"";"";"";"";"5 670 787"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2014, 2009, 2008, 2007"
" - film_id : 27908"
