"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"Total since 2014"
"AT";"Fox Int'l (AT)";"20/02/2014";"57 908";"";"";"";"";"57 908"
"BG";"Aleksandra";"21/02/2014";"20 772";"";"";"";"";"20 772"
"CH";"20th Century Fox (CH)";"13/02/2014";"70 869";"";"";"";"";"70 869"
"CY";"Fox (CY)";"";"4 748";"";"";"";"";"4 748"
"CZ";"CinemArt (CZ)";"27/02/2014";"37 072";"760";"";"";"";"37 832"
"DE";"20th Century Fox (DE)";"20/02/2014";"603 027";"118";"100";"201";"";"603 446"
"DK";"Filmcompagniet (SF-Film)";"27/02/2014";"44 618";"";"";"";"";"44 618"
"EE";"ETD";"14/02/2014";"17 225";"";"";"";"";"17 225"
"ES";"Hispano Foxfilms";"20/02/2014";"692 423";"";"";"";"";"692 423"
"FI";"FS Film (FI)";"28/02/2014";"31 619";"";"";"";"";"31 619"
"FR";"20th Century Fox (FR)";"12/03/2014";"1 288 588";"";"";"";"";"1 288 588"
"GB";"20th Century Fox (GB)";"14/02/2014";"911 225";"";"";"";"";"911 225"
"GR";"Odeon (GR)";"";"79 274";"";"";"";"";"79 274"
"HR";"Fox (HR)";"20/02/2014";"19 827";"";"";"";"";"19 827"
"HU";"Intercom";"20/02/2014";"66 845";"";"";"";"";"66 845"
"IS";"Sena";"";"3 393";"";"";"";"";"3 393"
"IT";"20th Century Fox (IT)";"13/02/2014";"626 136";"1 229";"";"";"79";"627 444"
"LT";"Theatrical Film Distribution / 20th Century Fox (LT)";"28/02/2014";"12 551";"";"";"";"";"12 551"
"LV";"LTD Latvian Theatrical Distribution";"21/02/2014";"13 200";"";"";"";"";"13 200"
"ME";"";"";"970";"";"";"";"";"970"
"MK";"MCF (MK)";"";"2 227";"";"";"";"";"2 227"
"NL";"Warner Bros.-20 Cent.Fox-catalogue";"13/02/2014";"210 441";"";"34";"";"27";"210 502"
"NO";"20th Century Fox (NO)";"14/02/2014";"36 205";"";"";"";"";"36 205"
"PL";"Imperial Cinepix";"28/02/2014";"56 325";"";"";"";"";"56 325"
"PT";"Big Picture 2 Films";"20/02/2014";"149 306";"";"";"";"";"149 306"
"RO";"Odeon Cineplex";"14/02/2014";"32 759";"";"";"";"";"32 759"
"RU";"20th Century Fox (RU)";"20/02/2014";"347 728";"";"";"";"";"347 728"
"SE";"20th Century Fox (SE)";"14/02/2014";"78 841";"";"";"";"";"78 841"
"SI";"Blitz Film & Video Distribution (SI)";"20/02/2014";"8 574";"";"";"";"";"8 574"
"SK";"Barracuda Movie";"27/02/2014";"15 405";"";"";"";"";"15 405"
"TR";"Tiglon";"21/03/2014";"100 173";"";"";"";"";"100 173"
"EUR EU";"";"";"5 078 709";"2 107";"134";"201";"106";"5 081 257"
"EUR OBS";"";"";"5 640 274";"2 107";"134";"201";"106";"5 642 822"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2017, 2016, 2015, 2014"
" - film_id : 46844"
