"Market";"Distributor";"Release date";"2009";"2010";"2015";"Total since 2009"
"AT";"Sony Pictures (AT)";"13/02/2009";"48 818";"";"";"48 818"
"BE";"Sony Pictures Releasing (BE)";"11/03/2009";"41 338";"";"";"41 338"
"CH";"Walt Disney (CH)";"12/02/2009";"53 267";"";"";"53 267"
"DE";"Sony Pictures Releasing (DE)";"12/02/2009";"695 575";"";"";"695 575"
"DK";"Walt Disney (DK)";"16/03/2009";"20 801";"";"";"20 801"
"EE";"Forum Cinemas (EE)";"06/03/2009";"4 099";"";"";"4 099"
"ES";"Sony Pictures Releasing De Espana";"10/03/2009";"310 261";"";"";"310 261"
"FI";"Walt Disney (FI)";"27/02/2009";"9 467";"";"";"9 467"
"FR";"Sony Pictures Releasing (FR)";"11/03/2009";"267 730";"";"";"267 730"
"GB";"Sony Pictures (GB)";"27/02/2009";"397 139";"5 523";"";"402 662"
"HR";"Continental Film (HR)";"12/03/2009";"13 249";"";"";"13 249"
"IT";"Sony Pictures (IT)";"20/03/2009";"177 219";"";"52";"177 271"
"LV";"Forum Cinemas (LV)";"";"5 590";"";"";"5 590"
"NL";"Sony Pictures Releasing (NL)";"16/04/2009";"47 038";"";"";"47 038"
"NO";"Walt Disney Studios Motion Pictures (NO)";"27/02/2009";"28 503";"";"";"28 503"
"PL";"UIP (PL)";"27/03/2009";"47 664";"";"";"47 664"
"PT";"Columbia TriStar Warner (PT)";"23/04/2009";"65 667";"";"";"65 667"
"RO";"Intercomfilm";"27/03/2009";"21 859";"";"";"21 859"
"SE";"Sony Pictures Releasing (SE)";"20/02/2009";"31 397";"";"";"31 397"
"SI";"Continental Film (SI)";"05/03/2009";"7 794";"";"";"7 794"
"EUR EU";"";"";"2 212 705";"5 523";"52";"2 218 280"
"EUR OBS";"";"";"2 294 475";"5 523";"52";"2 300 050"
"US_CA";"Sony Pictures (US)";"13/02/2009";"3 393 404";"";"";"3 393 404"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2015, 2010, 2009"
" - film_id : 32264"
