"Market";"Distributor";"Release date";"2013";"2014";"2015";"2018";"Total since 2013"
"AT";"Constantin Film (AT)";"29/08/2013";"56 489";"";"";"";"56 489"
"BG";"bTV";"23/08/2013";"19 923";"";"";"";"19 923"
"CH";"Pathé Films (CH)";"29/08/2013";"20 050";"";"";"";"20 050"
"CZ";"Bontonfilm";"12/09/2013";"26 726";"186";"37";"";"26 949"
"DE";"Constantin Film (DE)";"29/08/2013";"530 328";"296";"37";"";"530 661"
"DK";"SF Film (DK)";"22/08/2013";"21 924";"";"";"";"21 924"
"EE";"Acme (EE)";"23/08/2013";"5 564";"";"";"";"5 564"
"ES";"Aurum Producciones";"30/08/2013";"270 438";"31";"";"";"270 469"
"FI";"SF Film Finland [FS Film]";"30/08/2013";"21 261";"";"";"";"21 261"
"FR";"UGC Distribution";"16/10/2013";"380 366";"";"";"";"380 366"
"GB";"Entertainment One Films (GB)";"23/08/2013";"397 814";"";"";"";"397 814"
"GR";"";"";"41 204";"";"";"";"41 204"
"HR";"Blitz Film & Video Distribution (HR)";"22/08/2013";"12 607";"";"";"";"12 607"
"HU";"ProVideo";"29/08/2013";"39 260";"";"";"";"39 260"
"IT";"Eagle Pictures";"28/08/2013";"341 070";"54";"";"";"341 124"
"LT";"Acme (LT)";"23/08/2013";"12 157";"23";"";"";"12 180"
"LV";"Acme (LV)";"";"";"43";"";"";"43"
"ME";"";"";"614";"";"";"";"614"
"NL";"Entertainment One Benelux";"22/08/2013";"99 258";"";"";"";"99 258"
"NO";"SF Norway";"23/08/2013";"39 254";"";"";"";"39 254"
"PL";"Monolith";"21/08/2013";"156 887";"1 040";"";"";"157 927"
"PT";"Leopardo Filmes";"22/08/2013";"30 115";"";"189";"3";"30 307"
"RO";"Media Pro Distributions";"06/09/2013";"53 139";"";"";"";"53 139"
"RU";"Central Partnership (RU)";"22/08/2013";"867 247";"";"";"";"867 247"
"SE";"SF Film (SE)";"23/08/2013";"49 416";"";"";"";"49 416"
"SI";"Blitz Film & Video Distribution (SI)";"29/08/2013";"5 602";"";"";"";"5 602"
"SK";"TatraFilm/Bontonfilm";"29/08/2013";"8 160";"35";"";"";"8 195"
"TR";"Tiglon";"30/08/2013";"103 355";"";"";"";"103 355"
"EUR EU";"";"";"2 579 708";"1 708";"263";"3";"2 581 682"
"EUR OBS";"";"";"3 610 228";"1 708";"263";"3";"3 612 202"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2015, 2014, 2013"
" - film_id : 43071"
