"Market";"Distributor";"Release date";"2012";"2013";"2015";"2017";"2018";"Total since 2012"
"AT";"Constantin Film (AT)";"20/09/2012";"109 168";"";"";"";"";"109 168"
"BG";"Aleksandra";"";"32 857";"";"";"";"";"32 857"
"CH";"Pathé Films (CH)";"20/09/2012";"42 596";"15";"";"";"";"42 611"
"CZ";"Falcon";"13/09/2012";"43 426";"30";"";"";"";"43 456"
"DE";"Constantin Film (DE)";"20/09/2012";"685 301";"";"";"63";"";"685 364"
"EE";"Acme (EE)";"14/09/2012";"16 041";"";"";"";"";"16 041"
"ES";"Sony Pictures Releasing De Espana";"02/10/2012";"376 788";"65";"";"";"";"376 853"
"GB";"Sony Pictures (GB)";"28/09/2012";"292 751";"";"";"";"";"292 751"
"GR";"Feelgood";"";"51 341";"";"";"";"";"51 341"
"HR";"Sony Pictures Releasing (HR)";"13/09/2012";"16 182";"";"";"";"";"16 182"
"HU";"Intercom";"13/09/2012";"66 180";"";"";"";"";"66 180"
"IT";"Warner Bros. (IT)";"28/09/2012";"281 721";"";"";"";"";"281 721"
"LV";"Forum Cinemas (LV)";"14/09/2012";"20 414";"";"";"";"";"20 414"
"NL";"Sony Pictures Releasing (NL)";"";"18 543";"";"";"";"";"18 543"
"PL";"UIP (PL)";"14/09/2012";"93 812";"";"";"";"";"93 812"
"PT";"Columbia TriStar Warner (PT)";"20/09/2012";"64 980";"";"";"";"";"64 980"
"RO";"Intercomfilm";"14/09/2012";"75 311";"188";"100";"";"20";"75 619"
"RU";"WDSSPR (RU)";"13/09/2012";"1 940 465";"";"";"52";"";"1 940 517"
"SE";"Sony (Walt Disney)";"14/09/2012";"49 963";"";"";"";"";"49 963"
"SI";"Continental Film (SI)";"13/09/2012";"6 325";"28";"";"";"";"6 353"
"SK";"Itafilm";"13/09/2012";"19 131";"";"";"";"";"19 131"
"TR";"Warner Bros. (TR)";"14/09/2012";"297 089";"";"";"";"";"297 089"
"EUR EU";"";"";"2 320 235";"311";"100";"63";"20";"2 320 729"
"EUR OBS";"";"";"4 600 385";"326";"100";"115";"20";"4 600 946"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2017, 2015, 2013, 2012"
" - film_id : 40461"
