"Market";"Distributor";"Release date";"2013";"2014";"2015";"2016";"Total since 2013"
"AT";"Constantin Film (AT)";"31/07/2014";"";"50 238";"249";"";"50 487"
"BE";"Alternative Films (BE)";"02/10/2013";"143 640";"550";"";"";"144 190"
"CH";"Elite Film";"02/10/2013";"28 080";"1 318";"";"";"29 398"
"DE";"Universum Film";"31/07/2014";"";"88 766";"885";"35";"89 686"
"EE";"ETD";"11/07/2014";"";"5 306";"";"";"5 306"
"FR";"Mars Films (FR)";"02/10/2013";"1 787 433";"";"";"";"1 787 433"
"HR";"Blitz Film & Video Distribution (HR)";"12/12/2013";"";"651";"";"";"651"
"IS";"Sena";"";"";"1 387";"";"";"1 387"
"IT";"Bim Distribuzione";"05/06/2014";"";"81 504";"";"";"81 504"
"LT";"Theatrical Film Distribution (LT)";"04/07/2014";"";"2 232";"";"";"2 232"
"LV";"LTD Latvian Theatrical Distribution";"";"";"1 501";"";"";"1 501"
"PT";"NOS Lusomundo Audiovisuais (PT)";"16/01/2014";"";"941";"";"";"941"
"RU";"Kaskad (RU)";"15/05/2014";"";"44 432";"";"";"44 432"
"EUR EU";"";"";"1 931 073";"231 689";"1 134";"35";"2 163 931"
"EUR OBS";"";"";"1 959 153";"278 826";"1 134";"35";"2 239 148"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2015, 2014, 2013"
" - film_id : 43251"
