"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2018-2020";"Total since 2014"
"AT";"Constantin Film (AT)";"01/05/2014";"28 305";"";"";"";"";"";"";"";"28 305"
"BE";"Alternative Films (BE)";"12/02/2014";"75 166";"";"";"";"";"";"";"";"75 166"
"CH";"Pathé Films (CH)";"12/02/2014";"30 427";"44";"";"";"";"46";"";"46";"30 517"
"CY";"Indipentant - Feelgood (CY)";"";"76";"";"";"";"";"";"";"";"76"
"CZ";"35 mm";"13/03/2014";"25 170";"775";"27";"130";"";"";"";"";"26 102"
"DE";"Concorde Filmverleih";"01/05/2014";"109 983";"108";"200";"";"";"40";"";"40";"110 331"
"EE";"Bigsales (EE)";"09/05/2014";"2 865";"";"";"";"";"";"";"";"2 865"
"ES";"DeAPlaneta";"14/03/2014";"207 282";"102";"";"852";"";"";"";"";"208 236"
"FR";"Pathé Distribution (FR)";"12/02/2014";"1 827 336";"";"";"";"";"";"";"";"1 827 336"
"GR";"Feelgood";"20/04/2014";"51 034";"105";"79";"211";"";"";"";"";"51 429"
"HR";"Pa-Dora";"27/02/2014";"3 430";"";"";"";"";"";"";"";"3 430"
"HU";"MTVA";"05/06/2014";"21 979";"23";"";"";"";"";"";"";"22 002"
"IT";"Notorious Pictures";"27/02/2014";"818 227";"";"";"183";"";"";"5";"5";"818 415"
"LT";"Theatrical Film Distribution (LT)";"02/05/2014";"3 344";"";"";"";"";"";"";"";"3 344"
"LU";"Alternative Film (LU)";"12/02/2014";"556";"";"";"";"";"";"";"";"556"
"LV";"Forum Cinemas (LV)";"21/11/2014";"5 040";"";"";"";"";"";"";"";"5 040"
"ME";"";"";"429";"";"";"";"";"";"";"";"429"
"MK";"MCF (MK)";"";"1 431";"";"";"";"";"";"";"";"1 431"
"NL";"Dutch Film Works (Source Investments)";"17/04/2014";"23 309";"";"";"";"";"";"";"";"23 309"
"RU";"";"27/03/2014";"652 679";"";"";"";"";"";"";"";"652 679"
"SI";"Fivia";"20/03/2014";"2 012";"";"90";"60";"";"";"";"";"2 162"
"SK";"Continental Film (SK)";"13/03/2014";"15 759";"";"";"";"14";"";"";"14";"15 773"
"TR";"Bir Film";"28/03/2014";"36 105";"";"";"";"";"";"";"";"36 105"
"EUR EU";"";"";"3 220 873";"1 113";"396";"1 436";"14";"40";"5";"59";"3 223 877"
"EUR OBS";"";"";"3 941 944";"1 157";"396";"1 436";"14";"86";"5";"105";"3 945 038"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014"
" - film_id : 46851"
