"Market";"Distributor";"Release date";"2016";"2017";"2018";"2019";"Total since 2016"
"BA";"Blitz Film & Video Distribution (BA)";"";"3 418";"";"";"";"3 418"
"BE";"Belga Films (BE)";"10/08/2016";"41 314";"";"";"";"41 314"
"CH";"Pathé Films (CH)";"03/08/2016";"7 286";"";"";"";"7 286"
"CY";"Odeon (CY)";"";"2 962";"";"";"";"2 962"
"CZ";"Bioscop (AQS)";"06/10/2016";"40 194";"2 210";"391";"178";"42 973"
"EE";"Tespi (EE)";"";"4 015";"";"";"";"4 015"
"ES";"DeAPlaneta";"02/09/2016";"259 205";"";"";"";"259 205"
"FR";"EuropaCorp (FR)";"";"236 855";"";"";"";"236 855"
"GB";"Lionsgate (GB)";"19/08/2016";"300 986";"41 480";"";"";"342 466"
"GE";"Interfilm International (GE)";"";"3 047";"";"";"";"3 047"
"GR";"Odeon (GR)";"";"2 810";"";"";"";"2 810"
"HR";"Blitz Film & Video Distribution (HR)";"06/10/2016";"16 012";"";"";"";"16 012"
"HU";"Big Bang Media";"08/09/2016";"47 599";"224";"";"";"47 823"
"IS";"Myndform";"29/08/2016";"4 318";"";"";"";"4 318"
"IT";"Lucky Red";"07/12/2016";"194 440";"8 641";"42";"";"203 123"
"LT";"Garsų pasaulio įrašai (LT)";"26/08/2016";"2 998";"";"";"";"2 998"
"LV";"GPI Latvia";"05/08/2016";"3 710";"";"";"";"3 710"
"NL";"Imagine Film Distribution (NL)";"05/10/2016";"21 226";"288";"";"";"21 514"
"PL";"Kino Swiat";"19/08/2016";"580 182";"3 262";"";"";"583 444"
"PT";"NOS Lusomundo Audiovisuais (PT)";"26/01/2017";"";"22 668";"34";"";"22 702"
"RO";"Ro-Image 2000";"26/08/2016";"51 476";"";"";"";"51 476"
"RU";"Nashe Kino";"01/09/2016";"310 771";"3 814";"18";"";"314 603"
"SK";"Magic Box Slovakia";"06/10/2016";"14 559";"491";"42";"";"15 092"
"EUR EU";"";"";"1 820 543";"79 264";"509";"178";"1 900 494"
"EUR OBS";"";"";"2 149 383";"83 078";"527";"178";"2 233 166"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2017, 2016"
" - film_id : 68127"
