"Market";"Distributor";"Release date";"2016";"2017";"2018";"2019";"2020";"Total since 2016"
"AT";"Thimfilm";"09/09/2016";"10 919";"295";"";"";"";"11 214"
"BE";"Athena Films (BE)";"23/03/2016";"44 985";"208";"100";"135";"";"45 428"
"CH";"Filmcoopi Zürich";"23/03/2016";"41 828";"486";"";"";"171";"42 485"
"DE";"Alamode Film (DE)";"08/09/2016";"77 344";"12 195";"1 020";"61";"";"90 620"
"DK";"Another World Entertainment APS";"08/12/2016";"4 546";"2 154";"";"";"";"6 700"
"ES";"Caramelfilms";"27/05/2016";"182 938";"578";"";"";"";"183 516"
"FR";"Le Pacte";"23/03/2016";"1 510 564";"4 097";"";"";"246";"1 514 907"
"GB";"StudioCanal (GB)";"13/01/2017";"";"1 396";"";"";"";"1 396"
"GR";"Filmtrade";"23/02/2017";"";"12 216";"227";"";"";"12 443"
"HU";"Cirko Film";"22/12/2016";"753";"6 331";"";"";"";"7 084"
"IT";"Bim Distribuzione";"22/12/2016";"54 476";"160 612";"263";"140";"";"215 491"
"LU";"Athena Films (LU)";"23/03/2016";"936";"";"";"";"";"936"
"NL";"Cherry Pickers Filmdistributie (NL)";"25/01/2018";"";"";"43 339";"353";"";"43 692"
"PT";"Outsider Films";"23/03/2017";"";"8 289";"";"";"";"8 289"
"SE";"Studio S Entertainment";"12/08/2016";"21 991";"2 041";"";"";"";"24 032"
"EUR EU";"";"";"1 909 452";"210 412";"44 949";"689";"246";"2 165 748"
"EUR OBS";"";"";"1 951 280";"210 898";"44 949";"689";"417";"2 208 233"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016"
" - film_id : 68472"
