"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2018-2020";"Total since 2014"
"AT";"Constantin Film (AT)";"18/04/2014";"7 837";"";"";"";"";"";"";"";"7 837"
"BA";"Blitz Film & Video Distribution (BA)";"19/06/2014";"270";"";"";"";"";"";"";"";"270"
"BE";"Entertainment One Belgium";"15/01/2014";"66 105";"";"";"";"";"";"";"";"66 105"
"CH";"Pathé Films (CH)";"15/01/2014";"48 612";"";"";"";"17";"";"";"17";"48 629"
"CZ";"Bioscop (AQS)";"27/03/2014";"15 911";"112";"";"2";"50";"19";"";"69";"16 094"
"DE";"LEONINE Distribution GmbH";"17/04/2014";"139 021";"730";"41";"";"89";"66";"19";"174";"139 966"
"DK";"SF Film (DK)";"03/04/2014";"7 376";"";"";"";"";"";"";"";"7 376"
"EE";"Aurum Distribution (EE)";"21/03/2014";"3 740";"";"";"";"";"";"";"";"3 740"
"ES";"Vertigo Films (ES)";"19/09/2014";"30 883";"";"";"";"";"";"";"";"30 883"
"FI";"FS Film (FI)";"02/05/2014";"11 124";"31";"";"";"";"";"";"";"11 155"
"FR";"SND Films";"08/01/2014";"1 645 942";"";"";"";"";"";"";"";"1 645 942"
"GB";"Entertainment One Films (GB)";"21/03/2014";"63 219";"85";"";"";"";"";"";"";"63 304"
"GR";"Feelgood";"05/06/2014";"8 519";"316";"";"";"";"";"";"";"8 835"
"HR";"Blitz Film & Video Distribution (HR)";"19/06/2014";"3 829";"";"";"";"";"";"";"";"3 829"
"HU";"Cinetel";"26/06/2014";"12 357";"18";"";"";"";"";"";"";"12 375"
"IE";"Entertainment One (IE)";"21/03/2014";"2 570";"";"";"";"";"";"";"";"2 570"
"IT";"Lucky Red";"27/03/2014";"95 169";"7";"";"";"";"";"";"";"95 176"
"LT";"Top Film (LT)";"21/03/2014";"1 391";"";"";"";"";"";"";"";"1 391"
"LV";"TFB Top Film Baltic (LV)";"21/03/2014";"6 075";"";"";"";"";"";"";"";"6 075"
"MK";"Blitz Film (MK)";"";"317";"";"";"";"";"";"";"";"317"
"NL";"Entertainment One Benelux";"10/04/2014";"34 151";"";"";"";"52";"";"";"52";"34 203"
"NO";"SF Norway";"04/07/2014";"3 610";"";"";"";"";"";"";"";"3 610"
"PL";"Vue Movie";"30/05/2014";"47 282";"";"";"";"";"";"";"";"47 282"
"PT";"NOS Lusomundo Audiovisuais (PT)";"19/06/2014";"11 144";"";"";"";"";"";"";"";"11 144"
"RU";"Top Film Distribution";"20/03/2014";"41 451";"";"";"";"";"";"";"";"41 451"
"SE";"Svensk Filmindustri";"14/03/2014";"10 183";"";"";"";"";"";"";"";"10 183"
"SK";"Magic Box Slovakia";"27/03/2014";"2 968";"16";"";"13";"";"6";"";"6";"3 003"
"TR";"Chantier Films";"28/03/2014";"9 429";"";"";"";"";"";"";"";"9 429"
"EUR EU";"";"";"2 226 796";"1 315";"41";"15";"191";"91";"19";"301";"2 228 468"
"EUR OBS";"";"";"2 330 485";"1 315";"41";"15";"208";"91";"19";"318";"2 332 174"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014"
" - film_id : 46876"
