"Market";"Distributor";"Release date";"2004";"2005";"2006";"2007";"Total since 2004"
"BE";"";"";"92 491";"";"";"";"92 491"
"CH";"";"";"27 793";"";"";"";"27 793"
"CZ";"35 mm";"23/12/2004";"4 588";"3 890";"";"";"8 478"
"EE";"Sonatiin";"17/12/2004";"741";"";"";"";"741"
"ES";"Tripictures";"22/12/2004";"";"24 879";"16";"118";"25 013"
"FR";"";"";"1 770 000";"";"";"";"1 770 000"
"HU";"FF Film";"01/09/2005";"";"7 561";"";"";"7 561"
"LU";"";"";"2 993";"";"";"";"2 993"
"RO";"Glob-Com";"11/03/2005";"";"2 878";"";"";"2 878"
"SI";"Fivia";"23/06/2005";"";"2 752";"";"";"2 752"
"SK";"Continental Film (SK)";"10/03/2005";"";"1 960";"";"";"1 960"
"EUR EU";"";"";"1 870 813";"43 920";"16";"118";"1 914 867"
"EUR OBS";"";"";"1 898 606";"43 920";"16";"118";"1 942 660"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2007, 2006, 2005, 2004"
" - film_id : 22104"
