"Market";"Distributor";"Release date";"2012";"2013";"2014";"2015";"2017";"2018";"2017-2018";"Total since 2012"
"AT";"Senator Film (AT)";"21/09/2012";"12 878";"227";"";"";"";"";"";"13 105"
"BE";"Alternative Films (BE)";"27/06/2012";"102 054";"";"";"";"";"";"";"102 054"
"CH";"Pathé Films (CH)";"27/06/2012";"33 184";"101";"";"";"";"";"";"33 285"
"DE";"Senator Film Verleih";"20/09/2012";"33 210";"20 746";"238";"63";"";"139";"139";"54 396"
"ES";"DeAPlaneta";"03/08/2012";"95 575";"";"";"98";"167";"";"167";"95 840"
"FR";"Pathé Distribution (FR)";"27/06/2012";"1 828 767";"";"";"";"";"";"";"1 828 767"
"GR";"Seven Films";"04/07/2013";"";"20 547";"192";"105";"";"";"";"20 844"
"HU";"MTVA";"04/10/2012";"59 137";"";"68";"";"";"";"";"59 205"
"LU";"Alternative Film (LU)";"27/06/2012";"6 404";"";"";"";"";"";"";"6 404"
"RU";"Caroprokat";"16/08/2012";"109 402";"";"";"";"";"";"";"109 402"
"TR";"Chantier Films";"23/11/2012";"24 228";"237";"54";"";"";"";"";"24 519"
"EUR EU";"";"";"2 138 025";"41 520";"498";"266";"167";"139";"306";"2 180 615"
"EUR OBS";"";"";"2 304 839";"41 858";"552";"266";"167";"139";"306";"2 347 821"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2017, 2015, 2014, 2013, 2012"
" - film_id : 39243"
