"Market";"Distributor";"Release date";"2019";"2020";"Total since 2019"
"BE";"O Brother Distribution (BE)";"25/09/2019";"36 063";"657";"36 720"
"CH";"Filmcoopi Zürich";"06/11/2019";"25 246";"356";"25 602"
"FR";"Diaphana Distribution";"25/09/2019";"1 969 453";"15 167";"1 984 620"
"IT";"Movies Inspired";"09/07/2020";"";"1 414";"1 414"
"LU";"";"";"446";"";"446"
"NL";"Gusto Entertainment (NL)";"23/01/2020";"";"7 397";"7 397"
"EUR EU";"";"";"2 005 962";"24 635";"2 030 597"
"EUR OBS";"";"";"2 031 208";"24 991";"2 056 199"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019"
" - film_id : 85155"
