"Market";"Distributor";"Release date";"2008";"Total since 2008"
"BE";"UPI (BE)";"02/04/2008";"89 000";"89 000"
"CH";"Frenetic Films (CH)";"02/04/2008";"28 976";"28 976"
"FR";"StudioCanal (FR)";"02/04/2008";"2 435 015";"2 435 015"
"EUR EU";"";"";"2 524 015";"2 524 015"
"EUR OBS";"";"";"2 552 991";"2 552 991"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2008"
" - film_id : 30032"
