"Market";"Distributor";"Release date";"2008";"2009";"2010";"2011";"2012";"Total since 2008"
"AT";"Constantin Film (AT)";"11/09/2008";"60 433";"";"";"";"";"60 433"
"BE";"UPI (BE)";"27/08/2008";"123 000";"";"";"";"";"123 000"
"CH";"Frenetic Films (CH)";"27/08/2008";"38 697";"30";"";"";"";"38 727"
"CZ";"Intersonic (CZ)";"25/03/2010";"";"";"1 747";"57";"1";"1 805"
"DE";"Concorde Filmverleih";"11/09/2008";"388 462";"";"";"";"";"388 462"
"DK";"Nordisk Film Biografer";"03/10/2008";"11 824";"50";"";"";"";"11 874"
"ES";"Aurum Producciones";"22/09/2008";"348 355";"559";"1 105";"";"";"350 019"
"FI";"Nordisk Film Theatrical Dist.";"03/10/2008";"8 237";"8";"";"";"";"8 245"
"FR";"StudioCanal (FR)";"20/08/2008";"905 848";"";"";"";"";"905 848"
"GB";"20th Century Fox (GB)";"29/08/2008";"226 316";"";"";"";"";"226 316"
"HR";"Duplicato";"";"";"8 925";"";"";"";"8 925"
"HU";"Palace Pictures (HU)";"16/09/2010";"";"";"8 507";"";"";"8 507"
"IS";"";"";"2 562";"";"";"";"";"2 562"
"IT";"Moviemax";"24/10/2008";"418 967";"535";"";"";"";"419 502"
"NL";"Universal Pictures Int (NL)";"25/09/2008";"40 907";"";"";"";"";"40 907"
"NO";"Nordisk Filmdistribusjon";"03/10/2008";"4 711";"42";"";"";"";"4 753"
"PL";"Vision";"19/09/2008";"169 097";"";"";"";"";"169 097"
"PT";"ZON Lusomundo Audiovisuais";"28/08/2008";"152 726";"41";"";"";"";"152 767"
"RO";"Intercomfilm";"20/03/2009";"";"8 624";"";"";"";"8 624"
"SE";"Nordisk Film";"05/09/2008";"15 701";"";"";"";"";"15 701"
"SK";"Intersonic SK";"24/12/2009";"";"1 310";"1 191";"";"";"2 501"
"TR";"Tiglon";"26/09/2008";"140 609";"2 010";"";"";"";"142 619"
"EUR EU";"";"";"2 869 873";"20 052";"12 550";"57";"1";"2 902 533"
"EUR OBS";"";"";"3 056 452";"22 134";"12 550";"57";"1";"3 091 194"
"US_CA";"20th Century Fox (US)";"29/08/2008";"3 138 241";"";"";"";"";"3 138 241"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2012, 2011, 2010, 2009, 2008"
" - film_id : 30069"
